EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5711173316755,Blue,79,189,Sovtex,135,Blå,9b15350c86033e20ba9fc749d83483d4
5711173316755,Blue,79,189,Kockens Redskap,165,Blå,d1919296d664f6be663118b58e69ec50
5711173332243,Green,49,135,No Product Found,,Not Sure,No Offer ID
5711173331987,Green,99,239,No Product Found,,Not Sure,No Offer ID
5711173331932,Orange,115,269,No Product Found,,Not Sure,No Offer ID
5711173259786,Black,729,1899,Lampemesteren,1329,Black,cbcff36ee8407052fc104761f6c15f7a
5711173259786,Black,729,1899,Designlite,1329,Black,7174ec14c13f2eb5baa944d73becedf1
5711173259786,Black,729,1899,Ellos,1519,Svart,76ca0cf551f205a871f84be6e70c33ef
5711173259786,Black,729,1899,BoboHome,1799,Terrakotta,91e8212394be3aed149a9e8bdb25c1af
5711173259786,Black,729,1899,Homeroom,1899,Svart,af758f2a7f90f5846c0c84b11ca04e0a
5711173267521,Black,329,749,No Product Found,,Not Sure,No Offer ID
5711173327218,Nature,45,119,No Product Found,,Not Sure,No Offer ID
5711173321285,Nature,89,229,No Product Found,,Not Sure,No Offer ID
5711173269570,Nature,129,299,Ellos,239,Not Sure,cd2099fd2fc5b7951bc2c09696d70241
5711173269570,Nature,129,299,Kockens Redskap,295,Not Sure,fb9d7625926e3998348223205fee4cf0
5711173269570,Nature,129,299,Homeroom,299,Not Sure,fa141ff3af4c80772d51e15c584241fd
5711173316304,Orange,119,269,Kockensval,259,Orange,31db8b147ae4c96b2d60242dbe027794
5711173316304,Orange,119,269,Kockens Redskap,265,Orange,115b2dd9393dacdb0d8cb42a11179ab0
5711173294046,Grey,119,289,No Product Found,,Not Sure,No Offer ID
5711173314638,Brown,399,1199,Coolshop,999,Brown,5e6fe774d853d5c0f8cd625eccc4d06c
5711173314638,Brown,399,1199,Lampemesteren,1199,Brun,8a0eba4d52cb1b02034c498f53444fe6
5711173297627,Brown,39,119,No Product Found,,Not Sure,No Offer ID
5711173327744,Nature,75,179,No Product Found,,Not Sure,No Offer ID
5711173240593,Nature,179,449,Kockens Redskap,299,Not Sure,45b6c675d2c3a598c424c41f2e32e926
5711173240593,Nature,179,449,Sovtex,300,Not Sure,bdb0781635f8ac496fa639c079476ce7
5711173240593,Nature,179,449,Homeroom,319,Not Sure,1bf3e444be2b84ce5dbdfe1cfebdb65e
5711173240593,Nature,179,449,Kockensval,359,Not Sure,21a59dd4a1c87d2fafcf3ae45e616b98
5711173240593,Nature,179,449,Ellos,359,Not Sure,2d4fc17159b3d0b614644ccc8e48ab49
5711173322381,Grey,229,549,No Product Found,,Not Sure,No Offer ID
5711173334964,Purple,35,89,No Product Found,,Not Sure,No Offer ID
5711173115297,Black,29,69,No Product Found,,Not Sure,No Offer ID
5711173294145,Rose,135,349,No Product Found,,Not Sure,No Offer ID
5711173327447,Red,89,199,No Product Found,,Not Sure,No Offer ID
5711173311736,Brass,149,379,No Product Found,,Not Sure,No Offer ID
5711173303205,Brown,149,379,No Product Found,,Not Sure,No Offer ID
5711173333486,Black,189,449,No Product Found,,Not Sure,No Offer ID
5711173324002,Nature,119,299,Nordic Nest,207,Brun,73a27ec266213883b826daca035363f4
5711173324002,Nature,119,299,Kitchentime,207,Brun,1743fcbd1f3b5dcb4caf92012554a605
5711173251957,Black,41.5,119,Sovtex,59,Grön,2d30f52fae76c8835cfa902dec51938b
5711173251957,Black,41.5,119,Sovtex,79,Svart,59304664606c48efa92076560f2ebe36
5711173292615,Nature,719,1649,Nordic Nest,1319,Beige,85ee1c561973ce0deddc06d3ba69a309
5711173292615,Nature,719,1649,Kitchentime,1319,Beige,8538e2a408a8722561d41bb02a5c488c
5711173292615,Nature,719,1649,Ellos,1319,Brun,e53c7f8ed8b07f2c278a9de53c638b7a
5711173292615,Nature,719,1649,Homeroom,1324,Brun,22ee9baa64641c68efcc5ef736c16d82
5711173292615,Nature,719,1649,BoboHome,1999,Brun,3fcb2990793145370546ab27e0c77d25
5711173316250,White,169,429,No Product Found,,Not Sure,No Offer ID
5711173318322,Black,105,249,Nordic Nest,224,Vit,1a39b8e938f946a7b367fa91da3cb830
5711173318322,Black,105,249,Kitchentime,224,Vit,fcc53704afcdc09acae3d540043b9d4a
5711173318322,Black,105,249,Kockensval,245,Not Sure,aa8ed571a90f2b5a30d928982092725e
5711173318322,Black,105,249,Kockens Redskap,245,Not Sure,cce7f307ce08d1e7ea5c4e1826f81aa2
5711173329250,Black,119,299,No Product Found,,Not Sure,No Offer ID
