EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7330654597438,Grå,520,1299,Nordic Nest,959,Grå,f1bfe8e8810cdd4323feaba1f0bd8d93
7330654597438,Grå,520,1299,Kitchentime,959,Grå,615623213b96ca4d5ed4854122e5d501
7330654597414,Multi,75,199,Nordic Nest,149,Multi,2b7bf9551776619e93b5f2e6e0f4939b
7330654597414,Multi,75,199,Kitchentime,149,Multi,084accd27a3a18e7f9820332b700cf12
7330654577317,Svart,28,74,No Product Found,,Not Sure,No Offer ID
7391400032184,Vit,57,149,No Product Found,,Not Sure,No Offer ID
7330654577270,Röd,22,59,No Product Found,,Not Sure,No Offer ID
7330654608998,Multi,87,229,No Product Found,,Not Sure,No Offer ID
7330654559191,Multi,33,89,No Product Found,,Not Sure,No Offer ID
7330654577287,Gul,22,59,No Product Found,,Not Sure,No Offer ID
7330654564232,Svart,67,169,No Product Found,,Not Sure,No Offer ID
7330654627777,Beige,22,59,No Product Found,,Not Sure,No Offer ID
7391400050492,Multi,49,129,No Product Found,,Not Sure,No Offer ID
7330654577508,Svart,22,59,No Product Found,,Not Sure,No Offer ID
7330654577348,Blå,67,169,No Product Found,,Not Sure,No Offer ID
7330654627746,Grönvit,67,169,No Product Found,,Not Sure,No Offer ID
7330654639718,Grå,67,169,No Product Found,,Not Sure,No Offer ID
7330654597407,Multi,125,329,Nordic Nest,199,Multi,230fa2824d8638e588a54f2ea26d20bf
7330654597407,Multi,125,329,Kitchentime,199,Multi,85405630fca4da037e3754f8efb432ba
7330654577355,Röd,67,169,No Product Found,,Not Sure,No Offer ID
7330654577300,Röd,22,59,No Product Found,,Not Sure,No Offer ID
7391400042459,Beige,125,329,No Product Found,,Not Sure,No Offer ID
7391400131016,,7,19,No Product Found,,Not Sure,No Offer ID
7330654577331,Grön,67,169,No Product Found,,Not Sure,No Offer ID
7391400050140,Multi,49,129,No Product Found,,Not Sure,No Offer ID
7391400028842,Svart,132,349,No Product Found,,Not Sure,No Offer ID
7330654607823,,33,89,No Product Found,,Not Sure,No Offer ID
7330654577294,Grön,22,59,No Product Found,,Not Sure,No Offer ID
7330654608981,Multi,95,249,No Product Found,,Not Sure,No Offer ID
7391400041612,Svart,125,329,No Product Found,,Not Sure,No Offer ID
7391400036175,Grå,95,229,No Product Found,,Not Sure,No Offer ID
7330654564225,Svart,67,169,No Product Found,,Not Sure,No Offer ID
7330654577324,Svart,67,169,No Product Found,,Not Sure,No Offer ID
7330654644668,,520,1299,Nordic Nest,1013,Grön,efa2c5f28dccd12b7ccaa12f134805c1
7330654644668,,520,1299,Kitchentime,1013,Grön,c5b484fa094a74a8b49aa163f33999ab
7330654644668,,520,1299,Royal Design,1013,Not Sure,a71581f75b9a64ab2aad0a88de427185
7330654644668,,520,1299,Nordic Nest,1199,Gul,46b7904c1a1626a2fa6876152b6e0692
7330654644668,,520,1299,Kitchentime,1199,Gul,228fa0e854e4c9a32d657e1150afe237
7391400011608,Grön,60,159,No Product Found,,Not Sure,No Offer ID
7391400038643,Röd,132,349,No Product Found,,Not Sure,No Offer ID
7330654596370,Svart,12,34,No Product Found,,Not Sure,No Offer ID
7330654627739,Röd,67,169,No Product Found,,Not Sure,No Offer ID
7391400050157,Multi,60,159,No Product Found,,Not Sure,No Offer ID
7330654577263,Gul,22,59,No Product Found,,Not Sure,No Offer ID
7330654608547,Grön,24,64,No Product Found,,Not Sure,No Offer ID
7330654644729,Multi,279,699,No Product Found,,Not Sure,No Offer ID
7330654618584,Blårosa,160,399,Nordic Nest,319,Blå,2ee260cff0052aad481e65fcb24ee2a4
7330654618584,Blårosa,160,399,Kitchentime,319,Blå,762056cd9edb1d89b628a6c33f805c35
7330654596363,Svart,12,34,No Product Found,,Not Sure,No Offer ID
7330654644163,Ockra,67,169,Nordic Nest,169,Ockra,32b26ceb566669c6a70e479ee3f16b9b
7330654644163,Ockra,67,169,Kitchentime,169,Ockra,56f9c7b18377c66b514a430fe4e8b12d
7330654644163,Ockra,67,169,Svenssons,169,Ockra,3514c6517200292f36c1d6394f888768
7330654646921,Blå,160,399,Nordic Nest,359,Blå,dc29997a2e51ae9082713d6503153fcb
7330654646921,Blå,160,399,Kitchentime,359,Blå,f164d213cbf74bc8aa6be906b23c7009
7330654646938,Gröngrå,160,399,No Product Found,,Not Sure,No Offer ID
7330654646907,Blå,279,699,Nordic Nest,629,Blå,da1a79b26a32e14fe96ac7f372757196
7330654646907,Blå,279,699,Kitchentime,629,Blå,e8a1a700fb9b22c2b8d456b454096e98
7330654646907,Blå,279,699,Svenssons,699,Blå,710e4644035f16f8866d36cf2baa6ffd
7330654646914,Gröngrå,279,699,Nordic Nest,629,Gröngrå,0b9ccb7c899451967da40224536d1833
7330654646914,Gröngrå,279,699,Kitchentime,629,Gröngrå,6a596a2a13051a215b8f7c11601c95c2
7330654646914,Gröngrå,279,699,Svenssons,699,Gröngrå,87502b1cb8d8e4ee7ea2ee569c755e93
7391400042800,Beige,132,349,No Product Found,,Not Sure,No Offer ID
7330654599418,Blå,57,149,No Product Found,,Not Sure,No Offer ID
7330654608660,Multi,67,169,No Product Found,,Not Sure,No Offer ID
7391400042435,Multi,125,329,No Product Found,,Not Sure,No Offer ID
7391400042510,Svart,132,349,No Product Found,,Not Sure,No Offer ID
7391400036861,Röd,95,229,No Product Found,,Not Sure,No Offer ID
7330654627753,Vitorange,28,74,No Product Found,,Not Sure,No Offer ID
7330654645788,Vit/gröngrå,67,169,No Product Found,,Not Sure,No Offer ID
7330654654254,Rosabrun,200,499,Kitchentime,333,Rosabrun,8207375cbdd8d7354143be2b743d2a1c
7330654654254,Rosabrun,200,499,Nordic Nest,499,Rosabrun,795afd327573730a37b2f376daa8eba5
7330654654261,Rosabrun,64,159,No Product Found,,Not Sure,No Offer ID
7330654654278,Rosabrun,160,399,Nordic Nest,327,Rosabrun,3e5c45e85c95f6f4c6ef8a9426f9ac9f
7330654654278,Rosabrun,160,399,Kitchentime,327,Rosabrun,a7a2e8b5309291aa0a3fd0be8ba2f1e0
7330654654230,Rosabrun,79,199,No Product Found,,Not Sure,No Offer ID
