EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
842142112735,Grey,"20,50","495,00",No Product Found,,Not Sure,No Offer ID
842142112742,Grey,"26,50","635,00",Royal Design,561,Grå,b252e47761ad1204602c416d59e64c9e
842142112742,Grey,"26,50","635,00",Rum21,561,Grå,ddd8ad8e37311a2df6d9b67d9c4c75b3
842142112759,Grey,"41,00","990,00",No Product Found,,Not Sure,No Offer ID
842142112766,Grey,"50,00","1 200,00",Royal Design,990,Grå,23994787e1725166956acc3dbe94b5d6
842142112766,Grey,"50,00","1 200,00",Rum21,990,Grå,47ed18203b316bad0d9f5f4ad497bbcb
842142112773,Grey,"59,00","1 400,00",Royal Design,1168,Grå,803e1ce13b80a16ae142e0acc73c1f21
842142112773,Grey,"59,00","1 400,00",Rum21,1168,Grå,603c84fcb6f5494e8c98803ca291b797
842142112780,,"20,50","495,00",No Product Found,,Not Sure,No Offer ID
842142112797,,"26,50","635,00",No Product Found,,Not Sure,No Offer ID
842142112803,,"41,00","990,00",No Product Found,,Not Sure,No Offer ID
842142112810,,"50,00","1 200,00",Royal Design,993,Rosa,c3f9224a0c5a844283542e64fa806b77
842142112810,,"50,00","1 200,00",Rum21,993,Rosa,fd700b35141f6faa58e2a3696ed2efed
842142112827,,"59,00","1 400,00",Royal Design,980,Rosa,ee47a4b5b15bf07fbe702b00723f3457
842142112827,,"59,00","1 400,00",Rum21,980,Rosa,ca9a415a5da9235589cdfcceab9c66ee
842142115774,Grey,"7,20","195,00",No Product Found,,Not Sure,No Offer ID
842142115781,Grey,"8,80","245,00",No Product Found,,Not Sure,No Offer ID
842142115798,Grey,"10,40","275,00",No Product Found,,Not Sure,No Offer ID
842142115804,Grey,"16,00","445,00",No Product Found,,Not Sure,No Offer ID
842142115811,Grey,"23,20","625,00",No Product Found,,Not Sure,No Offer ID
842142115828,,"7,20","195,00",No Product Found,,Not Sure,No Offer ID
842142115835,,"8,80","245,00",No Product Found,,Not Sure,No Offer ID
842142115842,,"10,40","275,00",No Product Found,,Not Sure,No Offer ID
842142115859,,"16,00","445,00",No Product Found,,Not Sure,No Offer ID
842142115866,,"23,20","625,00",No Product Found,,Not Sure,No Offer ID
842142115422,,"54,00","1 495,00",No Product Found,,Not Sure,No Offer ID
842142115446,,"80,00","2 195,00",No Product Found,,Not Sure,No Offer ID
842142115439,,"108,00","2 995,00",No Product Found,,Not Sure,No Offer ID
842142115453,,"160,00","3 995,00",No Product Found,,Not Sure,No Offer ID
842142113824,Grey,"52,00","1 400,00",No Product Found,,Not Sure,No Offer ID
842142113831,Grey,"72,00","1 950,00",No Product Found,,Not Sure,No Offer ID
842142113848,Grey,"84,00","2 300,00",No Product Found,,Not Sure,No Offer ID
842142113794,,"52,00","1 400,00",No Product Found,,Not Sure,No Offer ID
842142113800,,"72,00","1 950,00",No Product Found,,Not Sure,No Offer ID
842142113817,,"84,00","2 300,00",No Product Found,,Not Sure,No Offer ID
842142105416,Green,"20,00","550,00",Cervera,429,Bärnsten,b4f007b2ce089ad7ffd3276a59334215
842142105416,Green,"20,00","550,00",Nordic Nest,429,Gul,c79efebf87a766579472d65a58ded4c9
842142105416,Green,"20,00","550,00",Kitchentime,429,Gul,da67d4749c176b831be87ff61914d13a
842142105416,Green,"20,00","550,00",Cervera,545,Smaragd,b9697c1c982d82c8d7ad7236e31d598b
842142105416,Green,"20,00","550,00",Nordic Nest,545,Grön,449505ab942067c7c5c3f9085bf257ea
842142105416,Green,"20,00","550,00",Kitchentime,545,Grön,a17cf5d57c403160f8f670e53fc5cc8a
842142105416,Green,"20,00","550,00",Svenssons,545,Grön,2d29831beeb1e1a62750fefe4a1a65f2
842142105416,Green,"20,00","550,00",Ellos,549,Grön,f54bc2a9fef9f435658f08d6cc2a06b8
842142105416,Green,"20,00","550,00",Ellos,549,Gul,cd17314c485a8de42d1be28b49822b46
842142105416,Green,"20,00","550,00",Kitchn,550,Smaragd,382d446f77887b8eb22fee613a86234d
842142105416,Green,"20,00","550,00",Svenssons,550,Gul,1519335370a59c50e0e389a02ad57091
842142105423,Green,"40,00","1 000,00",Nordic Nest,900,Gul,b78a2d2b23a678dc220150e0c7761650
842142105423,Green,"40,00","1 000,00",Kitchentime,900,Gul,b905c72df66693214b100fe8ab0e6e99
842142105423,Green,"40,00","1 000,00",Ellos,999,Grön,e25bb88c41cacb848785bd23d4980212
842142105423,Green,"40,00","1 000,00",Svenssons,1000,Gul,82bb941f57d936247791c1af6f5db1de
842142100145,Green,"22,00","600,00",Kitchentime,450,Grön,91f76f42112f638e5883eece6bcf601a
842142100145,Green,"22,00","600,00",Royal Design,450,Grön,3880bfa81f15a714a0161c5bceb84cf8
842142100145,Green,"22,00","600,00",Rum21,450,Grön,98ec4b6483969fefed7d36507bfe60ae
842142100145,Green,"22,00","600,00",Svenssons,450,Grön,3065088b13a51150d95d1b4111b9de85
842142100145,Green,"22,00","600,00",Nordic Nest,466,Grön,72444c971f13c2bd0655801a60fecb0c
842142100145,Green,"22,00","600,00",Balders Hage,479,Grå,5392914e71cad1f374970702134dd0b5
842142100145,Green,"22,00","600,00",Balders Hage,479,Rosa,de7d57b0ef6f6c5a96205879aac601ce
842142100152,Green,"27,20","750,00",Royal Design,502,Grå,afed40724c91d9e50f9410ca9d2b65ae
842142100152,Green,"27,20","750,00",Rum21,502,Grå,ac3ac7a8a6abb0a8174d576be546937e
842142100152,Green,"27,20","750,00",Royal Design,563,Grön,0f1ac22e358a533b5f7ce8321d980678
842142100152,Green,"27,20","750,00",Rum21,563,Grön,459350282a85e2b91ec6caad5427ec71
842142100152,Green,"27,20","750,00",Ellos,599,Grå,fdc94f6f609c09444042e4482f237fb2
842142105430,"Amber, Yellow","20,00","550,00",Cervera,429,Bärnsten,b4f007b2ce089ad7ffd3276a59334215
842142105430,"Amber, Yellow","20,00","550,00",Nordic Nest,429,Gul,c79efebf87a766579472d65a58ded4c9
842142105430,"Amber, Yellow","20,00","550,00",Kitchentime,429,Gul,da67d4749c176b831be87ff61914d13a
842142105430,"Amber, Yellow","20,00","550,00",Cervera,545,Smaragd,b9697c1c982d82c8d7ad7236e31d598b
842142105430,"Amber, Yellow","20,00","550,00",Nordic Nest,545,Grön,449505ab942067c7c5c3f9085bf257ea
842142105430,"Amber, Yellow","20,00","550,00",Kitchentime,545,Grön,a17cf5d57c403160f8f670e53fc5cc8a
842142105430,"Amber, Yellow","20,00","550,00",Svenssons,545,Grön,2d29831beeb1e1a62750fefe4a1a65f2
842142105430,"Amber, Yellow","20,00","550,00",Ellos,549,Grön,f54bc2a9fef9f435658f08d6cc2a06b8
842142105430,"Amber, Yellow","20,00","550,00",Ellos,549,Gul,cd17314c485a8de42d1be28b49822b46
842142105430,"Amber, Yellow","20,00","550,00",Kitchn,550,Smaragd,382d446f77887b8eb22fee613a86234d
842142105430,"Amber, Yellow","20,00","550,00",Svenssons,550,Gul,1519335370a59c50e0e389a02ad57091
842142105447,"Amber, Yellow","40,00","1 000,00",Nordic Nest,900,Gul,b78a2d2b23a678dc220150e0c7761650
842142105447,"Amber, Yellow","40,00","1 000,00",Kitchentime,900,Gul,b905c72df66693214b100fe8ab0e6e99
842142105447,"Amber, Yellow","40,00","1 000,00",Ellos,999,Grön,e25bb88c41cacb848785bd23d4980212
842142105447,"Amber, Yellow","40,00","1 000,00",Svenssons,1000,Gul,82bb941f57d936247791c1af6f5db1de
842142106635,Grey,"15,60","425,00",Royal Design,331,Grå,27196b692d1316357a1d1a8359b7d9ac
842142106635,Grey,"15,60","425,00",Rum21,331,Grå,4d50c85b81438d39b0ced77941197510
842142106635,Grey,"15,60","425,00",Ellos,399,Grå,2b169e8a2192a4d28002147c936d93ac
842142106642,Grey,"22,80","625,00",Royal Design,502,Grå,afed40724c91d9e50f9410ca9d2b65ae
842142106642,Grey,"22,80","625,00",Rum21,502,Grå,ac3ac7a8a6abb0a8174d576be546937e
842142106642,Grey,"22,80","625,00",Royal Design,563,Grön,0f1ac22e358a533b5f7ce8321d980678
842142106642,Grey,"22,80","625,00",Rum21,563,Grön,459350282a85e2b91ec6caad5427ec71
842142106642,Grey,"22,80","625,00",Ellos,599,Grå,fdc94f6f609c09444042e4482f237fb2
842142101654,Grey,"18,00","495,00",No Product Found,,Not Sure,No Offer ID
842142106611,,"15,60","425,00",Royal Design,347,Rosa,54b7106c8da3553dfec424cee5cc0d0c
842142106611,,"15,60","425,00",Rum21,347,Rosa,89524e5b7f314dd8ca930ce67881c55c
842142106628,,"22,80","625,00",Royal Design,502,Grå,afed40724c91d9e50f9410ca9d2b65ae
842142106628,,"22,80","625,00",Rum21,502,Grå,ac3ac7a8a6abb0a8174d576be546937e
842142106628,,"22,80","625,00",Royal Design,563,Grön,0f1ac22e358a533b5f7ce8321d980678
842142106628,,"22,80","625,00",Rum21,563,Grön,459350282a85e2b91ec6caad5427ec71
842142106628,,"22,80","625,00",Ellos,599,Grå,fdc94f6f609c09444042e4482f237fb2
842142101685,,"18,00","495,00",Balders Hage,498,Rosa,1fa2ea518ad1f71464dea78ab2fdc015
842142105898,Grey,"6,00","165,00",No Product Found,,Not Sure,No Offer ID
842142105683,Grey,"7,20","195,00",No Product Found,,Not Sure,No Offer ID
842142105904,Grey,"8,80","245,00",Nordic Nest,221,Grey,63d7759f4f1da6ab922b7eb17e86f6e5
842142105904,Grey,"8,80","245,00",Kitchentime,221,Grey,37cd1ad88f8a06cfda6e696d249f81c1
842142105904,Grey,"8,80","245,00",Svenssons,245,Grey,316fd1bd0cd04e75571997ff73324a87
842142105690,Grey,"10,40","275,00",Nordic Nest,248,Grey,8d58104a6fa24a18fd6b44f7ccec122d
842142105690,Grey,"10,40","275,00",Nordic Nest,248,Rosa,f298aab3ab3cc7cdb18e5709c8d31a66
842142105690,Grey,"10,40","275,00",Kitchentime,248,Rosa,c09e999a3a8eb9e7dfa3e4a0de2dd31d
842142105690,Grey,"10,40","275,00",Kitchentime,248,Grey,19b78465997994cb21e0e7f2c913be16
842142105690,Grey,"10,40","275,00",Svenssons,275,Not Sure,58cafe323aeaf886db106bfbd889c49b
842142105690,Grey,"10,40","275,00",Svenssons,275,Grey,f2e2f66b88c6c566777786db2f9a179a
842142108646,Grey,"16,00","445,00",No Product Found,,Not Sure,No Offer ID
842142108677,Grey,"23,20","625,00",No Product Found,,Not Sure,No Offer ID
842142105874,,"6,00","165,00",Nordic Nest,149,Rosa,c13236fe7854896f8a5f7ed21c857b57
842142105874,,"6,00","165,00",Kitchentime,149,Rosa,88f22f999dd1c62fef785793bfafe15b
842142105874,,"6,00","165,00",Svenssons,165,Not Sure,3814cc374ac5d29a523712ea0f530f21
842142105669,,"7,20","195,00",Nordic Nest,176,Rosa,069af8c69b67f9e9e537db2a9e7f6d13
842142105669,,"7,20","195,00",Kitchentime,176,Rosa,27cf03f6ecfa5b90417f26b8e734a84a
842142105669,,"7,20","195,00",Svenssons,195,Not Sure,25c5d9c82993ef9d46c0785133f1cdc0
842142105881,,"8,80","245,00",Nordic Nest,221,Rosa,c6d2ee1b4e93ab2a66ddb6412bb17b11
842142105881,,"8,80","245,00",Kitchentime,221,Rosa,0173030b8605a1f7f5a71534b0aea79a
842142105881,,"8,80","245,00",Svenssons,245,Not Sure,e19d40f28d105e79f87e28ac26e9f05f
842142105676,,"10,40","275,00",Nordic Nest,248,Rosa,f298aab3ab3cc7cdb18e5709c8d31a66
842142105676,,"10,40","275,00",Nordic Nest,248,Grå,8d58104a6fa24a18fd6b44f7ccec122d
842142105676,,"10,40","275,00",Kitchentime,248,Rosa,c09e999a3a8eb9e7dfa3e4a0de2dd31d
842142105676,,"10,40","275,00",Kitchentime,248,Grå,19b78465997994cb21e0e7f2c913be16
842142105676,,"10,40","275,00",Svenssons,275,Not Sure,f2e2f66b88c6c566777786db2f9a179a
842142105676,,"10,40","275,00",Svenssons,275,Not Sure,58cafe323aeaf886db106bfbd889c49b
842142108585,,"16,00","445,00",No Product Found,,Not Sure,No Offer ID
842142108615,,"23,20","625,00",No Product Found,,Not Sure,No Offer ID
