EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7340030800007,,99,249,Nordic Nest,199,Not Sure,95db1e472b4e9a516f3e060d749984c7
7340030800007,,99,249,Kitchentime,199,Not Sure,88edae872fc892dc5b64a24c1a34adb1
7340030800007,,99,249,DesignTorget,249,Not Sure,64f0708fc589c4386e635eb259be9d4c
7340030800007,,99,249,Svenssons,249,Not Sure,f68dbdf462f2c4a37bfcbcbaca4d0bcd
7340030800007,,99,249,Amazon,333.61,Not Sure,01d2e60ea432b6ebbdf2d7d5825312bf
7340030802179,,519,1290,Bagaren och Kocken,452,Vit,fbbf95b16d7c2f7c2e9b54fd84c8ef72
7340030801905,,239,599,No Product Found,,Not Sure,No Offer ID
7340030803916,,239,599,No Product Found,,Not Sure,No Offer ID
7340030801882,,239,599,Cervera,599,Guld,ebaaef0e6e295cf00a732504d288780f
7340030801882,,239,599,Kitchn,599,Guld,acd9ece3bbbb2ce1f3785f06c616d38e
7340030801769,,119,299,No Product Found,,Not Sure,No Offer ID
7340030801776,,119,299,No Product Found,,Not Sure,No Offer ID
7340030800267,,279,699,No Product Found,,Not Sure,No Offer ID
7340030800847,,279,699,No Product Found,,Not Sure,No Offer ID
7340030803039,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803053,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803060,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803084,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803107,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803121,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803145,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803152,,27,69,No Product Found,,Not Sure,No Offer ID
7340030803176,,27,69,No Product Found,,Not Sure,No Offer ID
7340030804074,,319,799,No Product Found,,Not Sure,No Offer ID
7340030804104,,319,799,No Product Found,,Not Sure,No Offer ID
7340030800816,,119,299,No Product Found,,Not Sure,No Offer ID
7340030800830,,129,329,Cervera,329,Not Sure,1fd4983241b782a5e02a8a5afb3ec221
7340030800830,,129,329,Kitchn,329,Not Sure,27b5e7b3cba6a857c4c273d38c40988f
7340030800823,,139,349,Cervera,349,Not Sure,e84923cd3a450f8638c354598dd69411
7340030800823,,139,349,Kitchn,349,Not Sure,7eefe4e0cfa39501019078077a8d4338
7340030801738,,379,990,No Product Found,,Not Sure,No Offer ID
7340030802599,,2690,5990,No Product Found,,Not Sure,No Offer ID
7340030803794,,4100,8990,No Product Found,,Not Sure,No Offer ID
7340030802609,,359,899,No Product Found,,Not Sure,No Offer ID
7340030804197,,59,149,Nordic Nest,134,Not Sure,08575c6256c9c33fdac0a64df0c3c4e9
7340030804197,,59,149,Kitchentime,134,Not Sure,552ae51a0a1b76d5736a11fbabe624ab
7340030804197,,59,149,Svenssons,149,Not Sure,13343d0acc381c8a2ac41135397febec
7340030804203,,59,149,Nordic Nest,134,Grå,3990ff6d2745fb7fbbe39644baeadb43
7340030804203,,59,149,Kitchentime,134,Grå,32a04505aeec9e14350f05896b3433c6
7340030804203,,59,149,Svenssons,149,Grå,26fc3f30621a27401f483581be1203a8
7340030804210,,59,149,Nordic Nest,134,Blå,c51c9201afed5756301e5f5719129914
7340030804210,,59,149,Kitchentime,134,Blå,981a1456921b2c8d5a4536b2945d17ff
7340030804210,,59,149,Svenssons,149,Not Sure,7a305fdea7039d31e82be936d9ed7937
7340030804227,,59,149,Nordic Nest,134,Grön,fc7914822191ff1fe7f94f60f5fc5257
7340030804227,,59,149,Kitchentime,134,Grön,cbd945ee511f601716600f37ebab5c2b
7340030804227,,59,149,Svenssons,149,Grön,6567b3f7fd7a9607a149d9d22387ee18
7340030804234,,59,149,No Product Found,,Not Sure,No Offer ID
7340030804241,,59,149,Nordic Nest,134,Lila,f4f5a6a3176390492913109b30cc6b64
7340030804241,,59,149,Kitchentime,134,Lila,401c0d631c6ce5701b6cd1e5b767f3e1
7340030804241,,59,149,Svenssons,149,Lila,e712fff79cbec234594f58ce5f3ad2f9
7340030804258,,59,149,No Product Found,,Not Sure,No Offer ID
7340030804265,,79,199,Nordic Nest,179,Not Sure,6bec9c98379ff25385468e554015c8ef
7340030804265,,79,199,Kitchentime,179,Not Sure,0f7d46b62ea1375c81ce803493817479
7340030804265,,79,199,Svenssons,199,Not Sure,f2464acea002c671210994d19a6faa79
7340030804272,,79,199,Nordic Nest,179,Grå,73fb2a024e9cb3cf667c6d8501664f67
7340030804272,,79,199,Kitchentime,179,Grå,707b16a286ad260f3c972f332be48b25
7340030804272,,79,199,Svenssons,199,Grå,be7f8f59dd529ea0c23256c7c75d088e
7340030804289,,79,199,Nordic Nest,179,Blå,7c631de6477f8ee6dbafed302df73bc1
7340030804289,,79,199,Kitchentime,179,Blå,78f37d18ca4265bc55d3986d21e75ee1
7340030804289,,79,199,Svenssons,199,Not Sure,9b4958f2404d5814ae67ab727000df5d
7340030804296,,79,199,Nordic Nest,179,Grön,f1847fa0444ebad435040a36c92a79ed
7340030804296,,79,199,Kitchentime,179,Grön,b947a6881ae210149a398f6dfc1a8622
7340030804296,,79,199,Svenssons,199,Grön,93a02a2803982af02d15689837a09929
7340030804302,,79,199,No Product Found,,Not Sure,No Offer ID
7340030804319,,79,199,Nordic Nest,179,Lila,936ddbd1984b93ed0218b6b4f272096a
7340030804319,,79,199,Kitchentime,179,Lila,c4be97a0d47df06eff2a777fc1271b4e
7340030804319,,79,199,Svenssons,199,Lila,fd80ca665e7357ad143987d42b6c93d0
7340030804326,,79,199,Nordic Nest,179,Beige,3f27d0badce3340fdc9f5df982c8fc76
7340030804326,,79,199,Kitchentime,179,Beige,776779e091150a3800663b4c76642f0e
7340030804326,,79,199,Svenssons,199,Bärnsten,7076953be457fe6dd66fb8afd42917e0
7340030801028,,399,990,Cervera,624,Not Sure,f3c337f29c70233a2c98e8d7fb27a2c3
7340030801028,,399,990,Nordic Nest,624,Grå,90c3be711d0b08aa0f5fb5b3cebab1d3
7340030801028,,399,990,Kitchentime,624,Grå,c7f9294dd45a77d79277d4c6b838e03f
7340030801028,,399,990,Royal Design,658,Not Sure,9ed4ad3562b87a08d98e24ac7c9b313b
7340030801028,,399,990,Rum21,658,Not Sure,05d052b619fd96f88da338404c3f2cfb
7340030801028,,399,990,Svenssons,665,Not Sure,cb6d09563b6c82048ad8a0a3dd9dbf78
7340030801028,,399,990,Kontorsgiganten,687.5,Not Sure,081b3fd93a437f952f9046c8849ffe6c
7340030801028,,399,990,Cervera,749,Svart,f312b5f59e2c10531c3660ccade6497a
7340030801028,,399,990,Bagaren och Kocken,749,Not Sure,7394810bc622052f8255efdc20d5fbc6
7340030801028,,399,990,Royal Design,773,Svart,d22836d022279ef4f7667b3e0ae95798
7340030801028,,399,990,Bagaren och Kocken,833,Svart,a2ce82fe693c952ddb65c7b7ff6f5361
7340030801028,,399,990,Rum21,833,Svart,61c869e63f36fa7977ee34cfd8bfd315
7340030801028,,399,990,SmartaSaker,879,Not Sure,bdfe47978d3e838c8bb8a3f8cdca1b6d
7340030801028,,399,990,Kitchn,989,Not Sure,3912609d1190e197943864c8cb549e7a
7340030801028,,399,990,Hasselgrens,990,Not Sure,fc96ae22640ed4ea8c6dae8a74a18a2b
7340030801028,,399,990,DesignTorget,990,Not Sure,9d2524cb84dbc671c818d484e8d7cb00
7340030801028,,399,990,VålaMagasinet,990,Not Sure,fbf5eb0e8f7551167ab2704a3f3af618
7340030801028,,399,990,Bagaren och Kocken,1012,Not Sure,494e51717e64c59056f3ef9b5a710414
7340030801028,,399,990,Nordic Nest,1012,Not Sure,dce5d57c4fbe6a1b30e1124959d52cbf
7340030801028,,399,990,Kitchentime,1012,Not Sure,dad7425652a45fbd7255902fb660e95e
7340030801028,,399,990,Svenssons,1012,Not Sure,d25dbc75f671bdc157ce82ab317f83c0
7340030801028,,399,990,Cervera,1189,Not Sure,b62815362306ece789a799314093ff21
7340030801028,,399,990,Kitchn,1189,Svart,616a2a773996dc869098f6f9dbb7e116
7340030801028,,399,990,Kitchn,1189,Not Sure,bc7a7ef8ff6949d2c04d5dd4514feb1c
7340030801028,,399,990,VålaMagasinet,1190,Svart,76816f1188f79c58dea16f42db5d3bf8
7340030802384,,479,1190,Cervera,624,Not Sure,f3c337f29c70233a2c98e8d7fb27a2c3
7340030802384,,479,1190,Nordic Nest,624,Grå,90c3be711d0b08aa0f5fb5b3cebab1d3
7340030802384,,479,1190,Kitchentime,624,Grå,c7f9294dd45a77d79277d4c6b838e03f
7340030802384,,479,1190,Royal Design,658,Not Sure,9ed4ad3562b87a08d98e24ac7c9b313b
7340030802384,,479,1190,Rum21,658,Not Sure,05d052b619fd96f88da338404c3f2cfb
7340030802384,,479,1190,Svenssons,665,Not Sure,cb6d09563b6c82048ad8a0a3dd9dbf78
7340030802384,,479,1190,Kontorsgiganten,687.5,Not Sure,081b3fd93a437f952f9046c8849ffe6c
7340030802384,,479,1190,Cervera,749,Svart,f312b5f59e2c10531c3660ccade6497a
7340030802384,,479,1190,Bagaren och Kocken,749,Not Sure,7394810bc622052f8255efdc20d5fbc6
7340030802384,,479,1190,Royal Design,773,Svart,d22836d022279ef4f7667b3e0ae95798
7340030802384,,479,1190,Bagaren och Kocken,833,Svart,a2ce82fe693c952ddb65c7b7ff6f5361
7340030802384,,479,1190,Rum21,833,Svart,61c869e63f36fa7977ee34cfd8bfd315
7340030802384,,479,1190,SmartaSaker,879,Not Sure,bdfe47978d3e838c8bb8a3f8cdca1b6d
7340030802384,,479,1190,Kitchn,989,Not Sure,3912609d1190e197943864c8cb549e7a
7340030802384,,479,1190,Hasselgrens,990,Not Sure,fc96ae22640ed4ea8c6dae8a74a18a2b
