EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
82053011,Nature,129,289,No Product Found,,Not Sure,No Offer ID
82054316,Brown,179,439,No Product Found,,Not Sure,No Offer ID
82058089,Blue,129,289,No Product Found,,Not Sure,No Offer ID
82055427,Purple,179,439,No Product Found,,Not Sure,No Offer ID
82060484,Green,42,115,No Product Found,,Not Sure,No Offer ID
82054225,Brown,239,569,No Product Found,,Not Sure,No Offer ID
82054120,Brown,729,1699,No Product Found,,Not Sure,No Offer ID
82062565,Nature,35,75,No Product Found,,Not Sure,No Offer ID
82059632,Brown,129,289,No Product Found,,Not Sure,No Offer ID
82054483,Brown,115,289,No Product Found,,Not Sure,No Offer ID
82057558,Rose,42,115,No Product Found,,Not Sure,No Offer ID
82054440,Brown,139,349,No Product Found,,Not Sure,No Offer ID
82059708,Nature,669,1499,No Product Found,,Not Sure,No Offer ID
82054320,Red,149,349,No Product Found,,Not Sure,No Offer ID
82062088,Yellow,179,439,No Product Found,,Not Sure,No Offer ID
82054186,Brown,129,289,No Product Found,,Not Sure,No Offer ID
82054448,Rose,119,289,No Product Found,,Not Sure,No Offer ID
82053634,Nature,1099,2499,No Product Found,,Not Sure,No Offer ID
82072027,White,59,139,No Product Found,,Not Sure,No Offer ID
82054475,Brown,179,439,Nordic Nest,285,Not Sure,44195039efb0159dd1d83528c06c36f7
82054475,Brown,179,439,Kitchentime,285,Not Sure,5836adec2424b9dcaf50f5752d1ed1f0
82054475,Brown,179,439,Amazon,394.96,Not Sure,334b094fdc75527a43047bc5150d1ed3
82062080,White,289,729,No Product Found,,Not Sure,No Offer ID
82051082,Nature,799,1999,No Product Found,,Not Sure,No Offer ID
82053061,Brown,229,529,No Product Found,,Not Sure,No Offer ID
82062341,Nature,669,1499,No Product Found,,Not Sure,No Offer ID
82052925,Brown,429,999,No Product Found,,Not Sure,No Offer ID
82051129,Brown,189,499,No Product Found,,Not Sure,No Offer ID
82051081,Nature,89,239,No Product Found,,Not Sure,No Offer ID
82064497,Brown,249,599,No Product Found,,Not Sure,No Offer ID
82058009,White,99,249,No Product Found,,Not Sure,No Offer ID
82058601,Orange,75,189,No Product Found,,Not Sure,No Offer ID
82062061,Grey,169,449,No Product Found,,Not Sure,No Offer ID
82062392,Nature,149,379,No Product Found,,Not Sure,No Offer ID
56605629,White,549,1399,No Product Found,,Not Sure,No Offer ID
82052971,Brown,115,249,No Product Found,,Not Sure,No Offer ID
