EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7392463000417,,16,35,No Product Found,,Not Sure,No Offer ID
7392463133047,,20,45,No Product Found,,Not Sure,No Offer ID
7392463133542,,16,35,No Product Found,,Not Sure,No Offer ID
7392463000349,,16,35,BAUHAUS,24.95,Not Sure,a36ea3173d630aec45e8a117d76ecf74
7392463000349,,16,35,Hornbach,25,Not Sure,0fef2c36facf17d751bee987c2d70996
7392463000349,,16,35,Homeroom,30,Silver,dd623ac434ece23b57c5cdbf89881a08
7392463000349,,16,35,Ellos,35,Silver,c5bea5c286c445881835adde82b66387
7392463000356,,20,45,BAUHAUS,29.95,Not Sure,f0252b171306c41b2eb5b46c09c5df2e
7392463000356,,20,45,Hornbach,30,Not Sure,2f06d94e85f58811b8bb3df96f7ef9ef
7392463000356,,20,45,Homeroom,35,Silver,4a6d01f66c108eb7a5a41970a5c49f1d
7392463000356,,20,45,Ellos,45,Silver,6d727a77f9062f5c7dab135fa6d01a1b
7392463000363,,24,55,Hornbach,35,Not Sure,28977f917ad1c09e496ba2bb1e8646b9
7392463000363,,24,55,BAUHAUS,34.95,Not Sure,7e1d4aebda716901d9d9cffd01ebfae3
7392463000363,,24,55,Homeroom,40,Silver,0e9b9021bb1e29b90fd9c593c57fc4e0
7392463000363,,24,55,Ellos,55,Silver,c394edf72d2ea5110cb502d2bff5a81b
7392463000370,,16,35,Homeroom,29,Silver,9f9080e77374a0511ceac650b6bc2254
7392463000387,,20,45,BAUHAUS,29.95,Not Sure,3d33ae341de0cbcab0b776101ee0e72f
7392463000387,,20,45,Ellos,45,Silver,68dda1ca611615f9c1c60f0604ee4af1
7392463000387,,20,45,Nolhaga Hem,49,Not Sure,e3344a3a3aa4a4f29d883b9a954000f8
7392463000394,,24,55,BAUHAUS,34.95,Not Sure,b2acc51b1bd05d5c7ec5bb7e356a1391
7392463000394,,24,55,Homeroom,55,Silver,aa585bcd47d26844a555f71d52107163
7392463000394,,24,55,Ellos,55,Silver,16809f5f068c0f94ac4e9b9a9ebbd6e1
7392463000394,,24,55,Nolhaga Hem,59,Not Sure,cad633404b439a661a87d3ba96b1b187
7392463002787,,16,35,Homeroom,35,Grå,95a32643b6e708215b3ba12197950be7
7392463002787,,16,35,Ellos,35,Grå,e19121f99ddd001318abe7edbb855785
7392463000011,,20,45,No Product Found,,Not Sure,No Offer ID
7392463000431,,41,91,No Product Found,,Not Sure,No Offer ID
7392463003432,,67,149,No Product Found,,Not Sure,No Offer ID
7392463003456,,99,219,BAUHAUS,149,Vit,4dfeadab9bb9fc9605ace664e5b98ae5
7392463003456,,99,219,Homeroom,219,Vit,758b5e9e7ca5535eefd5db288cce5c84
7392463003456,,99,219,Ellos,219,Vit,9bfcf68fa8f6a5dfda9019ceecc3ea47
7392463003470,,112,249,Hornbach,149,Vit,e1f85000f0f135fb6224fe9b926c8100
7392463003470,,112,249,BAUHAUS,149,Vit,0736f584a2634c5c88e13515e1921819
7392463003494,,129,285,No Product Found,,Not Sure,No Offer ID
7392463003517,,162,359,No Product Found,,Not Sure,No Offer ID
7392463139506,,104,229,No Product Found,,Not Sure,No Offer ID
7392463139513,,129,285,No Product Found,,Not Sure,No Offer ID
7392463139520,,154,339,No Product Found,,Not Sure,No Offer ID
7392463049010,,20,45,No Product Found,,Not Sure,No Offer ID
7392463139544,,24,55,No Product Found,,Not Sure,No Offer ID
7392463005313,,57,129,No Product Found,,Not Sure,No Offer ID
7392463139568,,67,149,No Product Found,,Not Sure,No Offer ID
7392463173050,,67,149,No Product Found,,Not Sure,No Offer ID
7392463173098,,67,149,No Product Found,,Not Sure,No Offer ID
7392463005702,,24,55,No Product Found,,Not Sure,No Offer ID
7392463139629,,33,73,No Product Found,,Not Sure,No Offer ID
