EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7312511001371,,,,Shopping4net,209,Not Sure,54d9a9d004e8d7db5f6ae34452d7821d
7312511001371,,,,Jordklok,239,Not Sure,5b4e30fd45c0e8b9ae43eb0b3a84748e
7312511001395,,,,No Product Found,,Not Sure,No Offer ID
7312511000114,,,,No Product Found,,Not Sure,No Offer ID
7312511000121,,,,Shopping4net,169,Not Sure,3c6daadf7b38c14c56191a6bbc9184d5
7312511000121,,,,Jordklok,195,Not Sure,68c39f2988cce94a02b07a1e084cc35d
7312511000800,,,,Shopping4net,219,Not Sure,ec7399e774c71c7d600700a7f2f5a5d0
7312511000800,,,,Nordic Nest,228,Brun,fb41b519bc983e2bf4af33fa74bf1240
7312511000800,,,,Kitchentime,228,Brun,15e67bb0741d580c2cb2c03141bce6c5
7312511000800,,,,Svenssons,228,Not Sure,7cb73144ed076ed3e4804f1d05126861
7312511000800,,,,Svensk Hälsokost,249,Not Sure,aac33675f87a3317fdfa0843b5c2183a
7312511000817,,,,No Product Found,,Not Sure,No Offer ID
7312511005379,,,,No Product Found,,Not Sure,No Offer ID
7312511001418,,,,Shopping4net,219,Not Sure,2b1a22c63c03395c8aaf47568b8d5d8b
7312511001418,,,,Jordklok,285,Not Sure,056d770fb70e6ae367e9379914b2bc10
7312511000138,,,,Shopping4net,239,Not Sure,2b78767ec46644822c4eb70ce6e83fac
7312511000138,,,,Svensk Hälsokost,285,Not Sure,e975169881156545895abace6a6aa11c
7312511000138,,,,Jordklok,285,Not Sure,300cc460ac03f1ebf7b16610f97504a4
7312511000145,,,,No Product Found,,Not Sure,No Offer ID
7312511001425,,,,No Product Found,,Not Sure,No Offer ID
7312511000152,,,,No Product Found,,Not Sure,No Offer ID
7312511006437,,,,No Product Found,,Not Sure,No Offer ID
7312511001319,,,,No Product Found,,Not Sure,No Offer ID
7312511000183,,,,No Product Found,,Not Sure,No Offer ID
7312511003993,,,,No Product Found,,Not Sure,No Offer ID
7312511000190,,,,No Product Found,,Not Sure,No Offer ID
7312511000206,,,,Kitchentime,123,Brun,696a78211e45b5d22f568175733634b6
7312511000206,,,,Nordic Nest,129,Brun,db2548fd5d16160c35af036488854147
7312511000206,,,,Shopping4net,139,Not Sure,bbaa87ab805cb35f995187b065da82c0
7312511000206,,,,Jordklok,139,Not Sure,0bf1af6b4e6a6a17e097c1fdb77030f5
7312511000206,,,,Svenssons,160,Not Sure,f081cc7a66f752152233bd95f9d66ec3
7312511000213,,,,No Product Found,,Not Sure,No Offer ID
7312511000084,,,,No Product Found,,Not Sure,No Offer ID
7312511000091,,,,Shopping4net,169,Not Sure,dfe04a32d26c01d76ab94c3f92faddbb
7312511000091,,,,Jordklok,195,Not Sure,c5b58a2014173c79634c1791c695d3d9
7312511005331,,,,Shopping4net,169,Not Sure,b5ccea3755e648611d5ad46a1c1dc61a
7312511005362,,,,No Product Found,,Not Sure,No Offer ID
7312511005409,,,,No Product Found,,Not Sure,No Offer ID
7312511000107,,,,No Product Found,,Not Sure,No Offer ID
7312511005386,,,,No Product Found,,Not Sure,No Offer ID
7312511005102,,,,No Product Found,,Not Sure,No Offer ID
7312511005515,,,,No Product Found,,Not Sure,No Offer ID
7312511005171,,,,No Product Found,,Not Sure,No Offer ID
7312511005140,,,,No Product Found,,Not Sure,No Offer ID
7312511005096,,,,No Product Found,,Not Sure,No Offer ID
7312511005133,,,,No Product Found,,Not Sure,No Offer ID
7312511000220,,,,No Product Found,,Not Sure,No Offer ID
7312511002231,,,,No Product Found,,Not Sure,No Offer ID
7312511006093,,,,No Product Found,,Not Sure,No Offer ID
7312511006376,,,,No Product Found,,Not Sure,No Offer ID
7312511004235,,,,No Product Found,,Not Sure,No Offer ID
7312511006178,,,,No Product Found,,Not Sure,No Offer ID
7312511006185,,,,No Product Found,,Not Sure,No Offer ID
7312511000237,,,,No Product Found,,Not Sure,No Offer ID
7312511000824,,,,Shopping4net,419,Grå,31bfa20d0e7b7cf3479e3a0f66a27c85
7312511000824,,,,Nordic Nest,419,Grå,c26c6e9ddb43c3fc3e2101296fbab065
7312511000824,,,,Svenssons,550,Grå,bdcdd52380fab7ef93f089753a004310
7312511001456,,,,Shopping4net,149,Not Sure,a90c4e50d8e3ca2fd8d73329a87b3a90
7312511001456,,,,Nordic Nest,149,Beige,af59d8e7fff7eac714e4aeda4ac9951c
