EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5705764831994,Silver,"108,95","279,95",No Product Found,,Not Sure,No Offer ID
5705764831987,Silver,"63,95","159,95",No Product Found,,Not Sure,No Offer ID
5705764831970,Silver,"127,95",319,No Product Found,,Not Sure,No Offer ID
5705764831963,Silver,"223,95",559,No Product Found,,Not Sure,No Offer ID
5705764773577,White,"2367,95",5999,Nordic Nest,5999,White,29f8995fd0f9b5ac0b7227d17bee8f4f
5705764773577,White,"2367,95",5999,Kitchentime,5999,White,8d725e3237ee0db3c885b66f6e776e07
5705764773584,Black,"2367,95",5999,Nordic Nest,4334,Black,19052c6c4495a1dab4a90ba14e62ed99
5705764773584,Black,"2367,95",5999,Kitchentime,5999,Black,16e46189de4407c5d3c4e502fda1d557
5705764773584,Black,"2367,95",5999,Royal Design,5999,Svart,c65ae6ae3dbd9b78895977279a5f1224
5705764773591,Linen/L. Gold,"1151,95",2899,No Product Found,,Not Sure,No Offer ID
5705764775878,Black/L. Gold,"2959,95",7399,No Product Found,,Not Sure,No Offer ID
5705764773607,White/L.Gold,"2959,95",7399,No Product Found,,Not Sure,No Offer ID
5705764831741,Rose Dust,"25,95","64,95",No Product Found,,Not Sure,No Offer ID
5705764831734,Sage Green,"25,95","64,95",No Product Found,,Not Sure,No Offer ID
5705764831758,Rose Tan,"25,95","64,95",No Product Found,,Not Sure,No Offer ID
5705764832571,White,"319,95",799,No Product Found,,Not Sure,No Offer ID
5705764832557,Linen,"319,95",799,No Product Found,,Not Sure,No Offer ID
5705764832564,White,"223,95",559,No Product Found,,Not Sure,No Offer ID
5705764832540,Linen,"223,95",559,No Product Found,,Not Sure,No Offer ID
5705764773614,Linen,"511,95",1299,No Product Found,,Not Sure,No Offer ID
5705764773621,Linen,"511,95",1299,No Product Found,,Not Sure,No Offer ID
5705764773638,Linen,"511,95",1299,No Product Found,,Not Sure,No Offer ID
5705764773652,Linen,"575,95",1499,No Product Found,,Not Sure,No Offer ID
5705764773669,Linen,"511,95",1299,Nordic Nest,779,Linen,a593c1d779e22ae1a45a7b58fa31399d
5705764773669,Linen,"511,95",1299,Kitchentime,779,Linen,64fc1d49416a64b8d22aae45a2748f1e
5705764773669,Linen,"511,95",1299,Royal Design,779,Linen,e2caff4fbdeb207af71a3f085ff2ff95
5705764773669,Linen,"511,95",1299,Cervera,1299,Sand,0f234f9413c64fea68a93f9bbaedd6b9
5705764830744,Gold,"191,95",479,No Product Found,,Not Sure,No Offer ID
5705764830751,Gold,"166,95",419,No Product Found,,Not Sure,No Offer ID
5705764773676,Linen,"300,95",759,No Product Found,,Not Sure,No Offer ID
5705764773737,Linen,"57,95","149,95",Nordic Nest,135,Linen,9b502f19dc352b7dfc24dda6d98798fb
5705764773737,Linen,"57,95","149,95",Cervera,150,Sand,f16049ec5df7a4c55cde9f779e9ef567
5705764773737,Linen,"57,95","149,95",Kitchentime,150,Linen,9307e91dea2aa2b04a68d20b6c365632
5705764773737,Linen,"57,95","149,95",Royal Design,150,Linen,b69a0f266429f515878129cdf9de8015
