EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
5712195082550,Multi,"227,66","599,95"
5712195080532,Optic Blue,"295,00","897,00"
5712195082550,Multi,"227,66","599,95"
5712195082512,Blue,"233,82","629,95"
5712195082512,Blue,"233,82","629,95"
5712195082475,Not Sure,"153,82","399,95"
5712195082437,Not Sure,"153,82","399,95"
5712195082390,Not Sure,"184,58","479,95"
5712195082376,Not Sure,"246,12","649,95"
5712195082918,Caramel,"86,12","249,95"
5712195082833,Dusty Blue,"73,82","199,95"
5712195081157,Brushed Steel,"123,05","329,95"
5712195082031,Olive,"184,58","479,95"
5712195083571,Offwhite,"492,28","1299,95"
5712195083892,Cherry Red,"430,74","1099,95"
5712195083915,Green,"430,74","1099,95"
5712195075668,Beige,"123,05","329,95"
5712195075644,Clay,"123,05","329,95"
5712195075583,Not Sure,"123,05","329,95"
