EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195086435,Not Sure,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195086411,Not Sure,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195086398,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086336,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086312,Not Sure,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086275,Not Sure,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086237,Not Sure,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086190,Not Sure,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086091,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086053,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086015,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086176,Vit,"492,28","1299,95",Nordic Nest,969,Vit,e210d9697aa8775c8dfddd5a2cebdd50
5712195086176,Vit,"492,28","1299,95",Kitchentime,970,Vit,e7fd7c403d039bc6856d01ab4c0b1250
5712195086138,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
