EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195086435,Not Sure,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195086411,Not Sure,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195086398,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086336,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086312,Not Sure,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086275,Not Sure,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086237,Not Sure,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086190,Not Sure,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086091,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086053,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086015,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086176,Offwhite,"492,28","1299,95",Nordic Nest,969,Offwhite,e210d9697aa8775c8dfddd5a2cebdd50
5712195086176,Offwhite,"492,28","1299,95",Kitchentime,974,Offwhite,e7fd7c403d039bc6856d01ab4c0b1250
5712195086138,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195085971,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195085957,Not Sure,"36,89","99,95",No Product Found,,Not Sure,No Offer ID
5712195085933,Not Sure,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195085919,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195085896,Not Sure,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195085872,Not Sure,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195085797,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195085759,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195085834,Not Sure,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195085995,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084639,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084592,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084554,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084738,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084097,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195084073,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195084059,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195084691,Not Sure,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195084653,Not Sure,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195084035,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195082154,Not Sure,"399,97","1099,95",No Product Found,,Not Sure,No Offer ID
5712195081430,Not Sure,"295,38","799,95",No Product Found,,Not Sure,No Offer ID
5712195081416,Not Sure,"227,66","599,95",No Product Found,,Not Sure,No Offer ID
5712195085711,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085674,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085636,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085599,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085575,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195084530,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195084516,Not Sure,"79,97","199,95",No Product Found,,Not Sure,No Offer ID
5712195084479,Not Sure,"79,97","199,95",No Product Found,,Not Sure,No Offer ID
5712195085537,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085490,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085452,Not Sure,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195084974,Not Sure,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195084950,Not Sure,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195084912,Not Sure,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195084875,Not Sure,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195084851,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195084813,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084790,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084455,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084417,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084370,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084134,Not Sure,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
5712195084110,Not Sure,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
5712195084011,Not Sure,"276,89","749,95",No Product Found,,Not Sure,No Offer ID
5712195081058,Beige,"246,12","649,95",Lampemesteren,475,Beige,2d7af55b1d96e50c049974725f782283
5712195080693,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195080655,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
