EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195086435,Clay,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195086411,Blue / Clay,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195086398,White,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086336,Amber,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195086312,White,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086275,Amber,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195086237,White,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086190,Amber,"553,82","1499,95",No Product Found,,Not Sure,No Offer ID
5712195086091,Light Brown Melange,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086053,Light Brown Melange,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086015,Light Grey,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195086176,Offwhite,"492,28","1299,95",Nordic Nest,969,Offwhite,e210d9697aa8775c8dfddd5a2cebdd50
5712195086176,Offwhite,"492,28","1299,95",Kitchentime,970,Offwhite,e7fd7c403d039bc6856d01ab4c0b1250
5712195086138,Offwhite,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195085971,Offwhite,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195085957,Offwhite,"36,89","99,95",No Product Found,,Not Sure,No Offer ID
5712195085933,Offwhite,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195085919,Offwhite,"79,97","229,95",Kitchentime,229,Vit,bb858e8d68e498806244a1b8b7036ba0
5712195085919,Offwhite,"79,97","229,95",Lightshop,230,Vit,d4dde70582099d36a732e58bee7e296b
5712195085919,Offwhite,"79,97","229,95",Nordic Nest,230,Vit,55f7f7fafe97eb8b3c590631f9411f52
5712195085896,Offwhite,"49,20","129,95",Kitchentime,129,Vit,34dd9a35ededc79d1d09e5f15dbeecbf
5712195085896,Offwhite,"49,20","129,95",Lightshop,130,Vit,897c44bf7fcb2d7432096f3835ff269b
5712195085896,Offwhite,"49,20","129,95",Nordic Nest,130,Vit,bd423151f1aa1893b5b18eddd669b337
5712195085872,White,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195085797,Cherry Red / Offwhite / Blue,"123,05","329,95",Coolshop,299,Not Sure,377629b1a954cf2c5c57a34de0d9b369
5712195085759,Lavender / Amber / Offwhite,"123,05","329,95",Coolshop,299,Not Sure,bfbeeacc1aa08ebdbe57f012cf97f1b4
5712195085834,Clay / Red,"369,20","959,95",No Product Found,,Not Sure,No Offer ID
5712195085995,Offwhite,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084639,Offwhite / Green,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084592,Offwhite / Blue,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084554,Offwhite / Red,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084738,Black / White,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084097,Multi,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195084073,Multi,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195084059,Multi,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195084691,Clear / Green,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195084653,Clear / Nutmeg,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195084035,Multi,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195082154,Multi,"399,97","1099,95",No Product Found,,Not Sure,No Offer ID
5712195081430,Multi,"295,38","799,95",No Product Found,,Not Sure,No Offer ID
5712195081416,Multi,"227,66","599,95",No Product Found,,Not Sure,No Offer ID
5712195085711,Olive,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085674,Taupe,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085636,Grey,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085599,Offwhite,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085575,Olive,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195084530,Clay,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195084516,Offwhite / Blue,"79,97","199,95",No Product Found,,Not Sure,No Offer ID
5712195084479,Offwhite / Red,"79,97","199,95",No Product Found,,Not Sure,No Offer ID
5712195085537,Taupe,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085490,Grey,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195085452,Offwhite,"18,43","49,95",No Product Found,,Not Sure,No Offer ID
5712195084974,Dark,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195084950,Nature,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195084912,Olive,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195084875,Aqua,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195084851,Clear,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195084813,Nature,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084790,Nature,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195084455,Yellow,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084417,Red,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084370,Pale Mint,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084134,Nature,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
5712195084110,Nature,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
