EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
7330123003415,,95.0,239.0
7330123005570,,95.0,239.0
7330123003866,,95.0,239.0
7330123005587,,85.0,219.0
7330123006003,,249.0,629.0
7350027561330,,44.0,119.0
7330123002869,,44.0,119.0
7350027561347,,44.0,119.0
7330123001404,,44.0,119.0
7330123004023,,44.0,119.0
7350027568551,,44.0,119.0
7330123005433,,44.0,119.0
7330123005440,,44.0,119.0
7330123003552,,44.0,119.0
7330123003569,,44.0,119.0
7350027568605,,41.0,109.0
7330123004757,,41.0,109.0
7330123000025,,44.0,119.0
7330123000513,,44.0,119.0
7330123003712,,41.0,109.0
7350027553533,,41.0,109.0
7350027563921,,41.0,109.0
7350027567066,,41.0,109.0
7330123002319,,41.0,109.0
7350027562344,,41.0,109.0
7330123003279,,41.0,109.0
7330123004207,,41.0,109.0
7350027559702,,41.0,109.0
7350027560609,,41.0,109.0
7350027560647,,41.0,109.0
7350027568599,,41.0,109.0
7330123004030,,41.0,109.0
7330123004054,,41.0,109.0
7350027569046,,41.0,109.0
7330123004771,,41.0,109.0
7350027557593,,41.0,109.0
7330123005457,,41.0,109.0
7330123002364,,47.0,119.0
7330123002371,,47.0,119.0
7350027557654,,41.0,109.0
7350027563006,,41.0,109.0
7330123005808,,41.0,109.0
7330123004795,,41.0,109.0
7330123004597,,41.0,109.0
7330123002838,,41.0,109.0
7330123002821,,47.0,119.0
7330123002852,,41.0,109.0
7330123003583,,41.0,109.0
7330123001374,,41.0,109.0
7330123002340,,41.0,109.0
7350027567042,,41.0,109.0
7350027558323,,41.0,109.0
7330123002326,,41.0,109.0
7350027553540,,41.0,109.0
7330123000018,,41.0,109.0
7330123003347,,41.0,109.0
7330123004740,,41.0,109.0
7330123004788,,41.0,109.0
7350027559016,,41.0,109.0
7330123003859,,41.0,109.0
7330123004047,,41.0,109.0
7330123004764,,41.0,109.0
7330123005020,,41.0,109.0
7350027556725,,41.0,109.0
7350027556749,,41.0,109.0
7330123003255,,47.0,119.0
7350027565130,,41.0,109.0
7350027563020,,41.0,109.0
7350027563068,,41.0,109.0
7330123005860,,44.0,119.0
7330123004726,,41.0,109.0
7330123005259,,41.0,109.0
7330123005822,,41.0,109.0
7330123005839,,41.0,109.0
7330123003385,,41.0,109.0
7330123003378,,41.0,109.0
7330123004214,,41.0,109.0
7330123005044,,41.0,109.0
7330123004603,,41.0,109.0
7330123005761,,41.0,109.0
7330123003354,,41.0,109.0
7330123004061,,41.0,109.0
7350027566359,,41.0,109.0
7330123003699,,41.0,109.0
7330123005815,,41.0,109.0
7330123005792,,41.0,109.0
7330123005846,,41.0,109.0
7350027567950,,41.0,109.0
7350027568018,,41.0,109.0
7330123004733,,41.0,109.0
7330123005143,,99.0,249.0
7330123001886,,78.0,199.0
7330123001855,,78.0,199.0
7330123001862,,78.0,199.0
7330123005150,,79.0,199.0
7330123005167,,79.0,199.0
7330123005389,,99.0,249.0
7330123005372,,99.0,249.0
7330123003736,,129.0,329.0
7330123000049,,129.0,329.0
7350027569657,,109.0,279.0
7330123003743,,109.0,279.0
7330123004801,,109.0,279.0
7330123005853,,109.0,279.0
7330123003750,,109.0,279.0
7350027569190,,19.0,49.0
7350027569183,,19.0,49.0
7330123001916,,16.0,39.0
7330123005952,,69.0,169.0
7330123002814,,35.0,89.0
7330123006188,,55.0,139.0
7350027560050,,98.0,249.0
7350027565529,,98.0,249.0
7330123004351,,98.0,249.0
7350027567592,,62.0,159.0
7350027567608,,62.0,159.0
7330123004344,,62.0,159.0
7330123005785,,21.0,55.0
7330123002272,,21.0,55.0
7330123002289,,21.0,55.0
7330123005778,,21.0,55.0
7350027567219,,21.0,55.0
