EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7330123003415,,95.0,239.0,Cervera,167,Vit,26b40d459dd36cdcb7fb7be144ecbaee
7330123003415,,95.0,239.0,Nordic Nest,167,Vit,17375a139c522b3b2c1fafdf85298db2
7330123003415,,95.0,239.0,Kitchentime,167,Vit,f74a0114c66676ec4ea7030bd41cb899
7330123003415,,95.0,239.0,Kitchn,239,Vit,103fc6a9e77c52e45f8be37bf54a4e4f
7330123005570,,95.0,239.0,No Product Found,,Not Sure,No Offer ID
7330123003866,,95.0,239.0,Cervera,203.15,Vit,54694017a5c4d269a339c387cfed6a7b
7330123003866,,95.0,239.0,Nordic Nest,203,Vit,4f4a8989d300123ffad56bfb0c2aeee8
7330123003866,,95.0,239.0,Kitchentime,203,Vit,bb9232f112db4420f03e31460ff64ff4
7330123003866,,95.0,239.0,Kitchn,239,Vit,5ff335bdcfad50a7365f3eba3aaf5d2d
7330123003866,,95.0,239.0,Kamixa,239,Not Sure,e127a88acf3c5db57213b00ebc4390fe
7330123003866,,95.0,239.0,Amazon,249,Not Sure,268c0427f0b4079318e1aea00689f8f7
7330123005587,,85.0,219.0,No Product Found,,Not Sure,No Offer ID
7330123006003,,249.0,629.0,Nordic Nest,599,Guld,49d469995649c64025a9acb5f1de71b9
7330123006003,,249.0,629.0,Rum att älska,629,Not Sure,08c133149122a5190a7f33aa18ef26f6
7330123006003,,249.0,629.0,Svenssons,629,Guld,ab9e39ec10173c730dff341cdce71a7d
7350027561330,,44.0,119.0,Nordic Nest,99,Not Sure,36c066db43e8e302ea6856e8d4700b99
7350027561330,,44.0,119.0,Kitchentime,99,Not Sure,3764c19ca60d4d53efb27e8cd9a1782b
7330123002869,,44.0,119.0,No Product Found,,Not Sure,No Offer ID
7350027561347,,44.0,119.0,Rum att älska,119,Not Sure,3394d3589fd91039d1bf0381978fb26d
7350027561347,,44.0,119.0,Nordic Nest,119,Not Sure,9a183f275c945e9f2cadbb5201f92306
7350027561347,,44.0,119.0,Kitchentime,119,Not Sure,395a61a58fdc65e2f30d694ffaf68efb
7330123001404,,44.0,119.0,Rum att älska,119,Guld,6a6b8fc6a9a4628385762dfc89203211
