EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7330976141395,Beige,199,499,No Product Found,,Not Sure,No Offer ID
7330976054336,Beige,152,379,Sovtex,287,Not Sure,fe0b30234d4fff92564a5b6f1075ad8b
7330976054336,Beige,152,379,Bra Möbler,303,Not Sure,5d295b64584e1907f6704a5d87e502b5
7330976054336,Beige,152,379,Ljus och Miljö,359,Not Sure,b0eba9b63d06a5f1361ed44cfefdbd43
7330976054336,Beige,152,379,Soffadirekt,375,Not Sure,be7a3646892dbc04bb63b8e0818d43b0
7330976054329,Beige,179,449,Sovtex,276,Not Sure,deadcc5fe415c15e2171fa69c7cb2490
7330976054329,Beige,179,449,Bra Möbler,359,Not Sure,cf8623ccd9ada6b3e518f2e3f7024f14
7330976054329,Beige,179,449,Soffadirekt,445,Not Sure,3987808009db863a30821ee07423103e
7330976057559,Beige,199,499,Sovtex,374,Not Sure,9a20e5e74b5ff2a4b014e5ae519acf49
7330976057559,Beige,199,499,Bra Möbler,399,Not Sure,04ec5593801807f9c18713cf222f59bb
7330976057559,Beige,199,499,Soffadirekt,495,Not Sure,e43e104dda8e71cc26a28fc2de61b0b2
7330976138258,Natural,319,799,No Product Found,,Not Sure,No Offer ID
7330976138197,Natural,399,999,No Product Found,,Not Sure,No Offer ID
7330976138210,Natural,599,1499,No Product Found,,Not Sure,No Offer ID
7330976068463,Beige,199,499,Sleepo,355,Beige,09b96bab689cf562b6cf58b13468eb69
7330976068463,Beige,199,499,Bra Möbler,399,Not Sure,c9d44055f5e49504a64c348757e79738
7330976068463,Beige,199,499,Bra Möbler,399,Not Sure,d74b8928501030cae6ba4478c2a8a03e
7330976068463,Beige,199,499,Bra Möbler,479,Not Sure,07c9b9edde93005d141b63e8a9df9b8d
7330976068463,Beige,199,499,Soffadirekt,495,Not Sure,6fce15715ea103b805f19882b6c95b3e
7330976068463,Beige,199,499,Elstore,595,Not Sure,0ad734003d014866859c1c07328019c3
7330976068463,Beige,199,499,Lamp24,666.95,Not Sure,c17c8b9564caa99b3e6a15ed86a30af2
7330976068463,Beige,199,499,XXXLutz,669,Not Sure,6b6cedd81563e8d2ae1c4cd7d8a5fdcc
7330976082728,Beige,90,224,Homeroom,179,Not Sure,cf9b76b4ccdb50239184c8f6a6cfbe33
7330976082728,Beige,90,224,Ellos,225,Not Sure,eaf91c75bd3b2c10b8f289eefa6e5b40
7330976082728,Beige,90,224,Bra Möbler,359,Not Sure,058b0d58ae21165a6c1e84cee290c205
7330976075294,Beige,190,449,Homeroom,299,Röd,b582e36f313ab4d4b8073ba9a7aadadd
7330976075294,Beige,190,449,Nordic Nest,309,Vit,17b39b3098bae1c9ca9830a61fc57916
7330976075294,Beige,190,449,Nordic Nest,319,Röd,6d6447218fc6f07e64b5a6a230971031
7330976075294,Beige,190,449,Kitchentime,344,Beige,861db2710a1c79411f40905dfa31a040
7330976075294,Beige,190,449,Nordic Nest,359,Beige,cf3dbcb352fcc596ae05f3e7d016f4af
7330976075294,Beige,190,449,Kitchentime,372,Vit,86afccec4adbbca94c4ed8a5b26bf909
7330976075294,Beige,190,449,Magasin 11,399,Röd,61f41cbe49960b1e4bd6a952ef22e668
7330976075294,Beige,190,449,Bra Möbler,399,Röd,0d3a53610b254cd42edbe7a864a9e14f
7330976075294,Beige,190,449,Homeroom,419,Not Sure,c05547a140ecc2ad3bf30e83d035ea7c
7330976075294,Beige,190,449,Ellos,419,Not Sure,0c24a35397d70e78edb63bbd65c2ced4
7330976075294,Beige,190,449,Elon,439,Not Sure,38b3d892771b4d60339782cd3d0b0282
7330976075294,Beige,190,449,Elstore,495,Vit,f24d970f6c16c2315fd39c0679d7b2d3
7330976075294,Beige,190,449,Elstore,495,Röd,27be4f24248433abf69b2197f06b254d
7330976075294,Beige,190,449,Magasin 11,499,Not Sure,c52a1345fd16bafe213ccb9c8c54ce02
7330976075294,Beige,190,449,Sleepo,570,Beige,aa0fd1d7289c2e8c9e83985f5d33dedf
7330976075294,Beige,190,449,Bra Möbler,639,Not Sure,50002beb3d5a90b993b19cc5e5507195
7330976075294,Beige,190,449,Elstore,795,Not Sure,92eb7402ec769f8bf8771bf57aa20fe8
7330976075294,Beige,190,449,Sävedalens Belysning,799,Not Sure,1ef360904dd0cc23bdeb73918d76cbe4
7330976075294,Beige,190,449,XXXLutz,1299,Not Sure,99e972458e3d30a6a5a8cb4215dfdec8
7330976075300,Beige,290,699,Nordic Nest,419,Beige,93dd5ebc18eaed8b0aa61a54d69db70b
7330976075300,Beige,290,699,Homeroom,479,Vit,51d625f1b38146a8015400ca252bd2a9
7330976075300,Beige,290,699,Nordic Nest,512,Röd,dbcbfab8bf964c071a6a77f4221f088c
7330976075300,Beige,290,699,Ellos,559,Vit,6bc186cb266df978d55bfd4444e415cf
7330976075300,Beige,290,699,Homeroom,599,Not Sure,2d9b64952a51fdb30468c460c932af83
7330976075300,Beige,290,699,Magasin 11,599,Röd,f496c85a1d21303be43d861f2977f4f1
7330976075300,Beige,290,699,Bra Möbler,639,Röd,a008431f36a55916c8688784a126f09c
7330976075300,Beige,290,699,Bra Möbler,639,Vit,173d736b0cfd16c60a63f6a562d9ee62
7330976075300,Beige,290,699,Nordic Nest,641,Vit,c2cbcb06541ce2ab04348cb8698ac2c7
7330976075300,Beige,290,699,Kitchentime,678,Vit,1b39eed20ac193a4d92a1f97c6496a50
7330976075300,Beige,290,699,Elon,689,Not Sure,6e4e8aca22e9ab6ca72ecaa5109cf61d
7330976075300,Beige,290,699,Elstore,795,Röd,bae43b7357689ba1a74e07a1729eca07
7330976075300,Beige,290,699,Elstore,795,Vit,1b59628a8878b8a23eddc82d710a2606
7330976075300,Beige,290,699,Magasin 11,799,Not Sure,298aedb8b127de960c400d160345e35d
7330976075300,Beige,290,699,Ellos,839,Not Sure,f45780c8ac7715483d720367511caf36
7330976075300,Beige,290,699,Sleepo,927,Beige,42a41637e041819a59c7bfe2ee60f79e
7330976075300,Beige,290,699,Bra Möbler,1039,Not Sure,373d808813dcdbc66216cf58e21151ed
7330976075300,Beige,290,699,Elstore,1295,Not Sure,1829e572bf34bb9e606a17dd88e8a1c2
7330976075300,Beige,290,699,Sävedalens Belysning,1299,Not Sure,8a5f29764512b4447fd1b2aadfe0ec4e
7330976075317,Beige,420,999,Homeroom,599,Grön,58c8efa1ee06f07f0a542a271ae4e599
7330976075317,Beige,420,999,Ellos,749,Vit,0fed401a93d650831c5fefe851864d4e
7330976075317,Beige,420,999,Ellos,750,Grön,3e6bc417773611a8a2c14672e3f110f0
7330976075317,Beige,420,999,Kitchentime,762,Beige,6345d1d4ebc17149d503a7fcd1b49b1f
7330976075317,Beige,420,999,Nordic Nest,799,Beige,874581d90b34fafb951aeb65b9d22c83
7330976075317,Beige,420,999,Magasin 11,799,Grön,276cb457c514345b6fff0623bc57370e
7330976075317,Beige,420,999,Bra Möbler,799,Grön,0bc8e2e0130acdc77f4c218d3479ce77
7330976075317,Beige,420,999,Bra Möbler,799,Röd,3d6c0dce7faff27b6e09e3ff9196811c
7330976075317,Beige,420,999,Bra Möbler,799,Vit,3dd0d3148d3c08ce0aa80f43a4997cc0
7330976075317,Beige,420,999,Homeroom,799,Vit,5cba36f921fa5765899528181cc3b618
7330976075317,Beige,420,999,Homeroom,799,Röd,b98e15514e42e7822bbde8638d1395a1
7330976075317,Beige,420,999,Ljustema,799.6,Not Sure,58f18fb2acf590d9ce043b87e9c27833
7330976075317,Beige,420,999,Homeroom,899,Not Sure,84d46345fcf14d0d50c556d2fd7eebe9
7330976075317,Beige,420,999,Magasin 11,899,Röd,c0781645406dba3d43e58a3588552873
7330976075317,Beige,420,999,Ellos,900,Not Sure,484f28c74cee4004f897b16488951187
7330976075317,Beige,420,999,Nordic Nest,975,Röd,0da7b4536216ade7cca7709a752d516a
7330976075317,Beige,420,999,Elstore,995,Vit,0c01ea053d75e2065a8e85aaca8558d5
7330976075317,Beige,420,999,Elstore,995,Grön,e2903378e9d5117dfbf75827bb8c58f0
7330976075317,Beige,420,999,Elstore,995,Röd,fda1933349e003188a4948ee27c9b84c
7330976075317,Beige,420,999,Kitchentime,1079,Röd,719ade427715ad75f45682aacb2e872b
7330976075317,Beige,420,999,Magasin 11,1099,Not Sure,39a9d7cc12cf6324096d035d8e5193c7
7330976075317,Beige,420,999,Sleepo,1427,Beige,dd3358ff9bfa6132aa7b1b365c7a163c
7330976075317,Beige,420,999,Bra Möbler,1599,Not Sure,9090b08a7f9011accd0c50854ac63502
7330976075317,Beige,420,999,Ljus och Miljö,1698,Vit,cf23c4d71df4b6f53e2816e4b7beef50
7330976075317,Beige,420,999,Ljus och Miljö,1898,Not Sure,5b1804ab778e79ba548079fbfe1c99e4
7330976075317,Beige,420,999,Soffadirekt,1955,Not Sure,220db748c538937f90638a0030061923
7330976075317,Beige,420,999,Elstore,1995,Not Sure,741f183ec65337d3147bee531ad8b9ca
7330976115754,Beige,199,499,Homeroom,399,Not Sure,c4d73c99e84a89c7542189973d5ffdc3
