EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7332623415590,,400,0,No Product Found,,Not Sure,No Offer ID
7332623423700,Grön,173,449,No Product Found,,Not Sure,No Offer ID
7332623423687,Grön,173,449,No Product Found,,Not Sure,No Offer ID
7332623423694,Grön,53,139,No Product Found,,Not Sure,No Offer ID
7332623423724,Brun,500,1299,No Product Found,,Not Sure,No Offer ID
7332623424271,Grön,230,599,No Product Found,,Not Sure,No Offer ID
7332623424288,Grön,88,229,No Product Found,,Not Sure,No Offer ID
7332623424295,Grön,77,199,No Product Found,,Not Sure,No Offer ID
7332623424035,Blå,134,349,No Product Found,,Not Sure,No Offer ID
7332623423977,Grå,192,499,No Product Found,,Not Sure,No Offer ID
7332623423984,Grå,153,399,No Product Found,,Not Sure,No Offer ID
7332623423953,Svart,184,479,No Product Found,,Not Sure,No Offer ID
7332623423939,Blå,184,479,No Product Found,,Not Sure,No Offer ID
7332623423960,Svart,146,379,No Product Found,,Not Sure,No Offer ID
7332623423946,Blå,146,379,No Product Found,,Not Sure,No Offer ID
7332623423755,Grön,115,299,No Product Found,,Not Sure,No Offer ID
7332623424103,Rosa,57,149,No Product Found,,Not Sure,No Offer ID
7332623424189,Gul,57,149,No Product Found,,Not Sure,No Offer ID
7332623424110,Rosa,230,599,No Product Found,,Not Sure,No Offer ID
7332623424196,Gul,230,599,No Product Found,,Not Sure,No Offer ID
7332623424127,Rosa,230,599,No Product Found,,Not Sure,No Offer ID
7332623424202,Gul,230,599,No Product Found,,Not Sure,No Offer ID
7332623424455,Rosa,107,279,No Product Found,,Not Sure,No Offer ID
7332623424301,Grå,107,279,No Product Found,,Not Sure,No Offer ID
7332623424356,Gul,107,279,No Product Found,,Not Sure,No Offer ID
7332623424462,Rosa,50,129,No Product Found,,Not Sure,No Offer ID
7332623424318,Grå,50,129,No Product Found,,Not Sure,No Offer ID
7332623424363,Gul,50,129,No Product Found,,Not Sure,No Offer ID
7332623424479,Rosa,30,79,No Product Found,,Not Sure,No Offer ID
7332623424325,Grå,30,79,No Product Found,,Not Sure,No Offer ID
7332623424370,Gul,30,79,No Product Found,,Not Sure,No Offer ID
7332623424486,Rosa,307,799,No Product Found,,Not Sure,No Offer ID
7332623424332,Grå,307,799,No Product Found,,Not Sure,No Offer ID
7332623424387,Gul,307,799,No Product Found,,Not Sure,No Offer ID
7332623424493,Rosa,288,749,No Product Found,,Not Sure,No Offer ID
7332623424349,Grå,288,749,No Product Found,,Not Sure,No Offer ID
7332623424394,Gul,288,749,No Product Found,,Not Sure,No Offer ID
7332623423564,Multi,134,349,No Product Found,,Not Sure,No Offer ID
7332623423571,Multi,153,399,No Product Found,,Not Sure,No Offer ID
7332623423588,Beige,15,39,No Product Found,,Not Sure,No Offer ID
7332623423601,Offwhite,38,99,No Product Found,,Not Sure,No Offer ID
7332623423595,Beige,38,99,No Product Found,,Not Sure,No Offer ID
7332623423618,Beige,57,149,No Product Found,,Not Sure,No Offer ID
7332623423625,Offwhite,192,499,No Product Found,,Not Sure,No Offer ID
7332623423632,Grå,192,499,No Product Found,,Not Sure,No Offer ID
7332623423649,Beige,192,499,No Product Found,,Not Sure,No Offer ID
7332623423656,Offwhite,307,799,No Product Found,,Not Sure,No Offer ID
7332623423663,Grå,307,799,No Product Found,,Not Sure,No Offer ID
7332623423670,Beige,307,799,No Product Found,,Not Sure,No Offer ID
7332623423731,Blå,153,399,No Product Found,,Not Sure,No Offer ID
7332623423748,Brun,153,399,No Product Found,,Not Sure,No Offer ID
7332623423762,Blå,153,399,No Product Found,,Not Sure,No Offer ID
7332623423779,Rosa,153,399,No Product Found,,Not Sure,No Offer ID
7332623423793,Beige,269,699,No Product Found,,Not Sure,No Offer ID
7332623423786,Beige,961,2499,No Product Found,,Not Sure,No Offer ID
7332623423816,Beige,146,379,No Product Found,,Not Sure,No Offer ID
7332623423809,Beige,577,1499,No Product Found,,Not Sure,No Offer ID
7332623423823,Rosa,153,399,No Product Found,,Not Sure,No Offer ID
7332623423854,Rosa,153,399,No Product Found,,Not Sure,No Offer ID
7332623423830,Rosa,961,2499,No Product Found,,Not Sure,No Offer ID
7332623423861,Rosa,961,2499,No Product Found,,Not Sure,No Offer ID
7332623423847,Rosa,134,349,No Product Found,,Not Sure,No Offer ID
7332623423878,Rosa,134,349,No Product Found,,Not Sure,No Offer ID
7332623423885,Offwhite,38,99,No Product Found,,Not Sure,No Offer ID
7332623423892,Offwhite,153,399,No Product Found,,Not Sure,No Offer ID
7332623423915,Offwhite,3077,7999,No Product Found,,Not Sure,No Offer ID
7332623423908,Offwhite,1077,2799,No Product Found,,Not Sure,No Offer ID
7332623423922,Offwhite,99,0,No Product Found,,Not Sure,No Offer ID
7332623423991,Beige,230,599,No Product Found,,Not Sure,No Offer ID
7332623424004,Beige,153,399,No Product Found,,Not Sure,No Offer ID
7332623424028,Blå,211,549,No Product Found,,Not Sure,No Offer ID
7332623424011,Beige,211,549,No Product Found,,Not Sure,No Offer ID
7332623424042,Beige,230,599,No Product Found,,Not Sure,No Offer ID
7332623424059,Beige,134,349,No Product Found,,Not Sure,No Offer ID
7332623424066,Grön,115,299,No Product Found,,Not Sure,No Offer ID
7332623424073,Multi,115,299,No Product Found,,Not Sure,No Offer ID
7332623424080,Rosa,96,249,No Product Found,,Not Sure,No Offer ID
7332623424097,Multi,153,399,No Product Found,,Not Sure,No Offer ID
7332623424158,Grön,50,129,No Product Found,,Not Sure,No Offer ID
7332623424141,Grön,269,699,No Product Found,,Not Sure,No Offer ID
7332623424219,Grön,69,179,No Product Found,,Not Sure,No Offer ID
7332623424172,Blå,50,129,No Product Found,,Not Sure,No Offer ID
7332623424165,Blå,269,699,No Product Found,,Not Sure,No Offer ID
7332623424226,Blå,69,179,No Product Found,,Not Sure,No Offer ID
7332623424233,Brun,57,149,No Product Found,,Not Sure,No Offer ID
7332623424240,Grön,57,149,No Product Found,,Not Sure,No Offer ID
7332623424837,Brun,384,999,No Product Found,,Not Sure,No Offer ID
7332623424844,Grön,384,999,No Product Found,,Not Sure,No Offer ID
7332623424257,Brun,57,149,No Product Found,,Not Sure,No Offer ID
7332623424264,Grön,57,149,No Product Found,,Not Sure,No Offer ID
7332623424851,Brun,38,99,No Product Found,,Not Sure,No Offer ID
7332623424868,Grön,38,99,No Product Found,,Not Sure,No Offer ID
7332623424875,Beige,230,599,No Product Found,,Not Sure,No Offer ID
7332623424882,Beige,153,399,No Product Found,,Not Sure,No Offer ID
7332623422239,Grön,73,189,No Product Found,,Not Sure,No Offer ID
7332623422154,Gul,230,599,Sovtex,399,Not Sure,9761ec98c80ec6127f55ac5f2ce8751f
7332623422154,Gul,230,599,Nolhaga Hem,420,Not Sure,05f649508625f577ff86714808290249
7332623422154,Gul,230,599,Soffadirekt,595,Not Sure,93b6d12efa27268a242e339119c308f0
7332623422154,Gul,230,599,Homeroom,599,Gul,1a205545da1ba13f20a5185a9262ac42
7332623423199,Beige,50,129,No Product Found,,Not Sure,No Offer ID
7332623422536,Brun,107,279,No Product Found,,Not Sure,No Offer ID
7332623422413,Brun,115,299,Sovtex,199,Not Sure,0b8f663259748900a9a680d716360cc2
7332623422413,Brun,115,299,Balders Hage,298,Not Sure,d6dfe2b5fc3ede9d4fa0e9ad02f627d4
7332623422413,Brun,115,299,Homeroom,299,Brun,b538b8d58ad6a71fc97953ce3939284b
7332623422734,Brun,115,299,No Product Found,,Not Sure,No Offer ID
7332623422260,Grå,192,499,No Product Found,,Not Sure,No Offer ID
7332623422253,Grå,269,699,No Product Found,,Not Sure,No Offer ID
7332623422383,Grå,115,299,No Product Found,,Not Sure,No Offer ID
7332623422369,Grå,461,1199,Nolhaga Hem,845,Ljusgrå,5abbcd1eb496e8c6c8cf7b1864f49bb4
