EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
5710555 00502 7,black,17.0,40.0
5710555 00500 3,black,22.0,55.0
5710555 00501 0,black,34.0,85.0
5710555 00505 8,black,17.0,40.0
5710555 00506 5,black,22.0,55.0
5710555 00507 2,black,34.0,85.0
5710555 00530 0,black,17.0,40.0
5710555 00531 7,black,22.0,55.0
5710555 00532 4,black,34.0,85.0
5710555 00535 5,black,17.0,40.0
5710555 00536 2,black,22.0,55.0
5710555 00537 9,black,34.0,85.0
571055500658 1,black,17.0,40.0
5710555 00659 8,black,22.0,55.0
5710555 00660 4,black,34.0,85.0
5710555 00503 4,black,22.0,55.0
5710555 00504 1,black,30.0,75.0
5710555 00508 9,black,22.0,55.0
5710555 00509 6,black,30.0,75.0
5710555 00498 3,black,17.0,40.0
5710555 00533 1,black,22.0,55.0
5710555 00534 8,black,30.0,75.0
5710555 00499 0,black,17.0,40.0
5710555 00661 1,black,22.0,55.0
5710555 00662 8,black,30.0,75.0
5710555 00576 8,black/grey,14.5,36.3
5710555 00540 9,black/grey,23.1,57.8
5710555 00541 6,black/grey,34.0,84.8
5710555 00542 3,black/grey,44.8,112.0
5710555 00543 0,black/grey,70.0,174.5
5710555 00577 5,black/grey,14.5,36.3
5710555 00544 7,black/grey,23.1,57.8
5710555 00545 4,black/grey,34.0,84.8
5710555 00739 7,black/grey,54.2,135.0
5710555 00546 1,black/grey,44.8,112.0
5710555 00547 8,black/grey,75.3,188.0
5710555 00578 2,black/grey,14.5,36.3
5710555 00548 5,black/grey,23.1,57.8
5710555 00549 2,black/grey,34.0,84.8
5710555 00670 3,black/grey,54.2,135.0
5710555 00550 8,black/grey,44.8,112.0
5710555 00732 8,black/grey,86.0,214.8
5710555 00551 5,black/grey,75.3,188.0
5710555 00579 9,sand/beige,14.5,36.3
5710555 00552 2,sand/beige,23.1,57.8
5710555 00553 9,sand/beige,34.0,84.8
5710555 00671 0,sand/beige,64.0,160.0
5710555 00554 6,sand/beige,44.8,112.0
5710555 00733 5,sand/beige,86.0,214.8
5710555 00555 3,sand/beige,75.3,188.0
5710555 00580 5,grey,14.5,36.3
5710555 00560 7,grey,23.1,57.8
5710555 00561 4,grey,34.0,84.8
5710555 00672 7,grey,54.2,135.0
5710555 00562 1,grey,44.8,112.0
5710555 00563 8,grey,75.3,188.0
5710555 00631 4,bordeaux,14.5,36.3
5710555 00632 1,bordeaux,23.1,57.8
5710555 00633 8,bordeaux,34.0,84.8
5710555 00635 2,bordeaux,75.3,188.0
5710555 00653 6,dark blue,14.5,36.3
5710555 00654 3,dark blue,23.1,57.8
5710555 00655 0,dark blue,34.0,84.8
5710555 00656 7,dark blue,44.8,112.0
5710555 00657 4,dark blue,75.3,188.0
