EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5710555 00502 7,black,17.0,40.0,Royal Design,389,Svart,5d2ff7f0de02cc29b6126166e3971878
5710555 00502 7,black,17.0,40.0,Rum21,389,Svart,afd958c3a691a6f99233210f3c32fc2d
5710555 00500 3,black,22.0,55.0,Royal Design,505,Svart,e4a3f6f74f842315fe760403036b045f
5710555 00500 3,black,22.0,55.0,Rum21,505,Svart,62518045359c18035c4f0df3cb3d7b7e
5710555 00501 0,black,34.0,85.0,Royal Design,747,Svart,31adaec0cf38da0ec1c1dd2b210eeac7
5710555 00501 0,black,34.0,85.0,Rum21,747,Svart,c01cd54a89b6119cfc9e995c6738b5e3
5710555 00505 8,black,17.0,40.0,No Product Found,,Not Sure,No Offer ID
5710555 00506 5,black,22.0,55.0,Royal Design,518,Svart,73a3c5fbeff7b13f80a27ac7dc12179d
5710555 00507 2,black,34.0,85.0,Royal Design,718,Svart,0e9dea477ca5b0842828cd2011a8139b
5710555 00507 2,black,34.0,85.0,Rum21,718,Svart,95af67a4fb6fc1f5400895b776b79972
5710555 00530 0,black,17.0,40.0,Nordic Nest,314,Svart,1ec24c12c64318b5980534ca7298652f
5710555 00530 0,black,17.0,40.0,Royal Design,336,Svart,d32ea2ab1a5598e936ab6313aece678c
5710555 00530 0,black,17.0,40.0,Rum21,336,Svart,4c1390df19a6fa44d5af307e5c66fcd0
5710555 00530 0,black,17.0,40.0,Svenssons,336,Not Sure,2c60774842100ae2b4f1848bd09130dd
5710555 00531 7,black,22.0,55.0,Nordic Nest,447,Svart,ef3cef56eb1523cff9496d9535b85331
5710555 00531 7,black,22.0,55.0,Royal Design,447,Svart,226fa3ea8d4f96f66f9c1116057cf5e4
5710555 00531 7,black,22.0,55.0,Rum21,447,Svart,ce38e062104659fb989816832bf307da
5710555 00531 7,black,22.0,55.0,Svenssons,447,Not Sure,cf40cff7937118ca12286772cf86aca1
5710555 00532 4,black,34.0,85.0,Nordic Nest,671,Svart,ce7fdceb8d15ac4d5f48bca96d1dda6a
5710555 00532 4,black,34.0,85.0,Svenssons,671,Not Sure,275ce71ee3ecc79d3c91c29865a1ddc8
5710555 00532 4,black,34.0,85.0,Royal Design,671,Svart,6dd48f68eb0a5b42aeaf856cbb1384d3
5710555 00532 4,black,34.0,85.0,Rum21,671,Svart,9c6a3fd01f80c403d82eb2bef250d12f
5710555 00535 5,black,17.0,40.0,No Product Found,,Not Sure,No Offer ID
5710555 00536 2,black,22.0,55.0,No Product Found,,Not Sure,No Offer ID
5710555 00537 9,black,34.0,85.0,Royal Design,763,Svart,8356379cf4d54245e14f0a9397b59f81
5710555 00537 9,black,34.0,85.0,Rum21,763,Svart,89ea5985cf411c6b10e1f9337f62fbd1
571055500658 1,black,17.0,40.0,Nordic Nest,344,Svart,c8990c59a831f3f186f26f5b9b59fe20
571055500658 1,black,17.0,40.0,Svenssons,436,Not Sure,31901b633adc4a8031227c589b37d762
5710555 00659 8,black,22.0,55.0,Nordic Nest,456,Svart,9553650d992a4f86665a931afa33d770
5710555 00659 8,black,22.0,55.0,Svenssons,599,Not Sure,8132ae0a0fcb3fad519dfb4daa423e9f
5710555 00660 4,black,34.0,85.0,Nordic Nest,626,Svart,4b5c9681363bd9b699315db0cbba82f9
5710555 00660 4,black,34.0,85.0,Svenssons,626,Not Sure,fd1d1327b90786da30b1a8029fe0a5f8
5710555 00660 4,black,34.0,85.0,Royal Design,626,Svart,8d2fb864bbd8d97fe944b7126ee35db3
5710555 00660 4,black,34.0,85.0,Rum21,626,Svart,fc3953365b0496dfdcdd9991ad66dd64
5710555 00503 4,black,22.0,55.0,No Product Found,,Not Sure,No Offer ID
5710555 00504 1,black,30.0,75.0,No Product Found,,Not Sure,No Offer ID
5710555 00508 9,black,22.0,55.0,No Product Found,,Not Sure,No Offer ID
5710555 00509 6,black,30.0,75.0,No Product Found,,Not Sure,No Offer ID
5710555 00498 3,black,17.0,40.0,No Product Found,,Not Sure,No Offer ID
5710555 00533 1,black,22.0,55.0,Nordic Nest,397,Svart,bd2a080ee84c6dffbbd1c98963fc24d8
5710555 00533 1,black,22.0,55.0,Royal Design,479,Svart,eb88080a9e2e43430d50e475dfa5e74f
5710555 00533 1,black,22.0,55.0,Rum21,479,Svart,f2073029c9e15755a9ab47cf8e2a3c6d
5710555 00533 1,black,22.0,55.0,Svenssons,479,Not Sure,a50a61b0fefa76c788fc27794dd5b1a1
5710555 00534 8,black,30.0,75.0,Royal Design,609,Svart,ca2eeec5b0e7f7f1b41356aa3742db4f
5710555 00534 8,black,30.0,75.0,Rum21,609,Svart,209825fff70266a15dd6d45446435bd1
5710555 00499 0,black,17.0,40.0,No Product Found,,Not Sure,No Offer ID
5710555 00661 1,black,22.0,55.0,Royal Design,479,Svart,633b1341ab9d08def1fe3978bab6e1d3
5710555 00661 1,black,22.0,55.0,Rum21,479,Svart,86885d0769ca3f7238e1f870e9f08697
5710555 00662 8,black,30.0,75.0,Nordic Nest,522,Svart,c7b6ab80442858222198319ed7a8c80d
5710555 00662 8,black,30.0,75.0,Svenssons,650,Not Sure,3489c0e9a926e7ec1da08b466ce49541
5710555 00662 8,black,30.0,75.0,Royal Design,650,Svart,31d38af96dc19947f64a7af231bc3691
5710555 00662 8,black,30.0,75.0,Rum21,650,Svart,c2eb576d883be9f6b4cc1d74972925d7
5710555 00576 8,black/grey,14.5,36.3,Royal Design,325,Grå,115b1862268c43d900f9d66929776467
5710555 00576 8,black/grey,14.5,36.3,Rum21,325,Grå,cb4ff15e9b01cfe1a32254b7337227a4
5710555 00540 9,black/grey,23.1,57.8,Royal Design,549,Grå,1cd53c5e5767d0bde82b9b4b25a4f66e
5710555 00540 9,black/grey,23.1,57.8,Rum21,549,Grå,aae987cae43e9bef9a614bfd51716b6f
5710555 00541 6,black/grey,34.0,84.8,No Product Found,,Not Sure,No Offer ID
5710555 00542 3,black/grey,44.8,112.0,No Product Found,,Not Sure,No Offer ID
5710555 00543 0,black/grey,70.0,174.5,No Product Found,,Not Sure,No Offer ID
5710555 00577 5,black/grey,14.5,36.3,Royal Design,320,Grå,d1cc6b7d69a29689a99e3fac235840f2
5710555 00577 5,black/grey,14.5,36.3,Rum21,320,Grå,3bacf6550dd003a33bdfff0d935818d4
5710555 00544 7,black/grey,23.1,57.8,Nordic Nest,456,Svart,3dc5c657970b5401bdc8c1ec317ec7ba
5710555 00544 7,black/grey,23.1,57.8,Royal Design,456,Grå,15d30d4c45428b65693626a10fab7b84
5710555 00544 7,black/grey,23.1,57.8,Rum21,456,Grå,1044390484a0d4486d0e1ecfc8352fb7
5710555 00544 7,black/grey,23.1,57.8,Svenssons,456,Svart,832025eaeb072c34d81889864e8b2ef6
5710555 00544 7,black/grey,23.1,57.8,Royal Design,549,Grå,966d35927e872eb7e93334a35f283dc4
5710555 00544 7,black/grey,23.1,57.8,Rum21,549,Grå,dfc24444c7682e843153702f8e7fcfe1
5710555 00545 4,black/grey,34.0,84.8,No Product Found,,Not Sure,No Offer ID
5710555 00739 7,black/grey,54.2,135.0,No Product Found,,Not Sure,No Offer ID
5710555 00546 1,black/grey,44.8,112.0,No Product Found,,Not Sure,No Offer ID
5710555 00547 8,black/grey,75.3,188.0,No Product Found,,Not Sure,No Offer ID
5710555 00578 2,black/grey,14.5,36.3,Nordic Nest,209,Svart,eb2c9482309ff337a1735ab5c72d4ce9
5710555 00578 2,black/grey,14.5,36.3,Royal Design,349,Grå,9e74323ac3e8755a53e9ce3816fb387c
5710555 00578 2,black/grey,14.5,36.3,Rum21,349,Grå,929c9e27aa5cf9aaaf6ed57ce352987b
5710555 00578 2,black/grey,14.5,36.3,Svenssons,349,Svart,6bf9a05b93f8a5aaa2d2591e8267e64a
5710555 00548 5,black/grey,23.1,57.8,Nordic Nest,456,Svart,3dc5c657970b5401bdc8c1ec317ec7ba
5710555 00548 5,black/grey,23.1,57.8,Royal Design,456,Grå,15d30d4c45428b65693626a10fab7b84
5710555 00548 5,black/grey,23.1,57.8,Rum21,456,Grå,1044390484a0d4486d0e1ecfc8352fb7
