EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7073031000007,,571.48 kr,"1,099.00 kr",Lyko,934.15,Vit,5b59ac98158fd1e522128f8571930df7
7073031000007,,571.48 kr,"1,099.00 kr",Svenssons,978,Vit,226a6c3f4efc126a3602f5941d893001
7073031000007,,571.48 kr,"1,099.00 kr",Nordic Nest,979,Vit,e6edad4b2a272d3035b5099be0218adf
7073031000007,,571.48 kr,"1,099.00 kr",Kitchentime,979,Vit,bff500ea1e39df84918ed2d3fbeb3d4d
7073031000007,,571.48 kr,"1,099.00 kr",Royal Design,979,Vit,3f830b6decca98d62521b52e1821d0ad
7073031000007,,571.48 kr,"1,099.00 kr",Apohem,989,Vit,523100ecb30de55691616b1d5c192f66
7073031000007,,571.48 kr,"1,099.00 kr",MEDS,1099,Vit,7958454f0b073c98d389f5e0221ae5f0
7073031000007,,571.48 kr,"1,099.00 kr",Ellos,1099,Vit,3d62a4d594d27c4bbc2c61d4fa792851
7073031000014,,571.48 kr,"1,099.00 kr",Lyko,934.15,Svart,963346bb578d0f71396b6172907910e4
7073031000014,,571.48 kr,"1,099.00 kr",Nordic Nest,979,Svart,3be90ef46038f17c5a89a60ecfe26aa7
7073031000014,,571.48 kr,"1,099.00 kr",Kitchentime,979,Svart,e94c9a856e3461d91466e41e68f125ab
7073031000014,,571.48 kr,"1,099.00 kr",Svenssons,979,Svart,c40a4974c506dfe692ec9dcd669c86fd
7073031000014,,571.48 kr,"1,099.00 kr",Royal Design,979,Svart,0b4134f5574a0b3059da7829c0289aee
7073031000014,,571.48 kr,"1,099.00 kr",Apohem,989,Svart,56bbd86eeb802b83379c9ceba29c9c57
7073031000014,,571.48 kr,"1,099.00 kr",MEDS,1099,Svart,7f15a0ba1c9ce48d7051e752a16b031c
7073031000014,,571.48 kr,"1,099.00 kr",Ellos,1099,Svart,c76df7b6d31ff16aa2fd38c3eeea4891
7073031000021,,571.48 kr,"1,099.00 kr",Kitchentime,934,Grå,6436050372d312f9bf96b9aa0af6acfb
7073031000021,,571.48 kr,"1,099.00 kr",Apohem,989,Grå,03ae4dfe904ed2442ccd10974941e593
7073031000021,,571.48 kr,"1,099.00 kr",Nordic Nest,989,Grå,9ba5cd3afbb7586c5970f951b2cb8dfd
7073031000021,,571.48 kr,"1,099.00 kr",Svenssons,1099,Grå,528fecaffe68924b8ad6db5e43cbec6f
7073031000021,,571.48 kr,"1,099.00 kr",Ellos,1099,Grå,d50e4c655d192108e2a0e413169b3c64
7073031000038,,571.48 kr,"1,099.00 kr",Nordic Nest,989,Brun,11011849eb88a3df1e2541abb3961c3a
7073031000038,,571.48 kr,"1,099.00 kr",Kitchentime,989,Brun,4994ad463f636aa5a9dbea97241868aa
7073031000038,,571.48 kr,"1,099.00 kr",Svenssons,1099,Terrakotta,f62a7a8082d430889c0ecfbeb8525209
7073031000038,,571.48 kr,"1,099.00 kr",Ellos,1099,Orange,95693db693e0ea57c690328ab63d9090
7073031001554,,571.48 kr,"1,099.00 kr",No Product Found,,Not Sure,No Offer ID
7073031001868,,571.48 kr,"1,099.00 kr",No Product Found,,Not Sure,No Offer ID
7073031001882,,571.48 kr,"1,099.00 kr",No Product Found,,Not Sure,No Offer ID
7073031001905,,571.48 kr,"1,099.00 kr",No Product Found,,Not Sure,No Offer ID
7073031002186,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031000960,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031000977,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031001622,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031001707,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031001721,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031001745,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
7073031001769,,207.48 kr,399.00 kr,No Product Found,,Not Sure,No Offer ID
