EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
1030100112,12,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040100112,12,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030100114,14,95.00 €,"1 099,00",No Product Found,,Not Sure,No Offer ID
1040100114,14,95.00 €,"1 099,00",Knifeo,1049,14,8392fc8288cb6fbe08f2136ad61f7d73
1040100114,14,95.00 €,"1 099,00",Bagaren och Kocken,1061,14,99d93b7a5596ca0b039d32152765eb19
1030100116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040100116,16,99.00 €,"1 145,00",Bagaren och Kocken,1069,16,f18fbe09887aacaefc918253f45c2374
1040100116,16,99.00 €,"1 145,00",Royal Design,1069,16,128ba3e687300b81b762302437f3dcff
1040100116,16,99.00 €,"1 145,00",Amazon,1069,16,890245703a6c98ee0c3c678cd3be6734
1040100116,16,99.00 €,"1 145,00",Knifeo,1095,16,48f8a646e72195d6e39abff15ad689fd
1030100118,18,109.00 €,"1 299,00",No Product Found,,Not Sure,No Offer ID
1040100118,18,109.00 €,"1 299,00",Bagaren och Kocken,1164,18,cc58341479d462ec3a783bd0955cff56
1040100118,18,109.00 €,"1 299,00",Knifeo,1195,18,bfa3c933d2351b112a98a264f7202d6b
1030100120,20,119.00 €,"1 399,00",No Product Found,,Not Sure,No Offer ID
1040100120,20,119.00 €,"1 399,00",No Product Found,,Not Sure,No Offer ID
1030100123,23,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040100123,23,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1030100126,26,139.00 €,"1 645,00",No Product Found,,Not Sure,No Offer ID
1040100126,26,139.00 €,"1 645,00",No Product Found,,Not Sure,No Offer ID
1030100132,32,179.00 €,"2 099,00",No Product Found,,Not Sure,No Offer ID
1190100132,32,179.00 €,"2 099,00",No Product Found,,Not Sure,No Offer ID
1030130116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040130116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030130120,20,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040130120,20,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030100220,20,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040100220,20,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1030104120,20,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040104120,20,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1030104126,26,149.00 €,"1 745,00",No Product Found,,Not Sure,No Offer ID
1040104126,26,149.00 €,"1 745,00",No Product Found,,Not Sure,No Offer ID
1200104136,36,549.00 €,"6 299,00",No Product Found,,Not Sure,No Offer ID
1190104136,36,549.00 €,"6 299,00",No Product Found,,Not Sure,No Offer ID
1030105007,7,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1040105007,7,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030103208,8,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1040103208,8,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030100409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1040100409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030130409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1040130409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030100410,10,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1040100410,10,75.00 €,"875,00",Bagaren och Kocken,795,10,468035ac765f1c9eb133c4f5f940a63c
1040100410,10,75.00 €,"875,00",Knifeo,795,10,a0b284e563525b2f7920255253997efc
1030100412,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1040100412,12,75.00 €,"875,00",Bagaren och Kocken,699,12,9260ed86718860eb3f20c686ba30a8f2
1040100412,12,75.00 €,"875,00",Knifeo,849,12,e0d446b33be052962a0f2d615cb2970a
1040100412,12,75.00 €,"875,00",Amazon,960.99,12,de4de40aa219a4a05accf4e09d9e358d
1040100714,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030100714,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030100716,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040100716,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030100718,18,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040100718,18,99.00 €,"1 145,00",Bagaren och Kocken,1870,18,6787467ca8b793318efe9fc5bf334366
1030100720,20,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040100720,20,99.00 €,"1 145,00",Knifeo,899,20,954f3229534dac8772fae76f713a0433
1040100720,20,99.00 €,"1 145,00",Bagaren och Kocken,995,20,fe30e8017f1afe800f5bea6b861d1ab0
1040100720,20,99.00 €,"1 145,00",Bagaren och Kocken,1134,20,fb9fa37a87eab0713339110d170b687e
1030100723,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040100723,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030100820,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040100820,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030100823,23,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040100823,23,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030106626,26,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040106626,26,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1030106526,26,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040106526,26,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030100726,26,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040100726,26,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030101020,20,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040101020,20,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030101123,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040101123,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030101023,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040101023,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040101026,26,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030101026,26,119.00 €,"1 374,00",No Product Found,,Not Sure,No Offer ID
1040103920,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030103920,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040101410,10,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030101410,10,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030101414,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040101414,14,89.00 €,"1 045,00",Bagaren och Kocken,995,14,30b2706dc81126c7c31ae3143fc2eb74
1040101414,14,89.00 €,"1 045,00",Knifeo,995,14,05f440a08b8644a566b8ac39369dac5f
1030101416,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040101416,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030101614,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040101614,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030101712,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1040101712,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1030101914,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040101914,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030102116,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040102116,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030104916,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040104916,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030102207,7,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1040102207,7,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030102432,32,149.00 €,"1 745,00",No Product Found,,Not Sure,No Offer ID
1040102432,32,149.00 €,"1 745,00",No Product Found,,Not Sure,No Offer ID
1040102816,16,209.00 €,"2 399,00",No Product Found,,Not Sure,No Offer ID
1030102916,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040102916,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030102920,20,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040102920,20,99.00 €,"1 145,00",Knifeo,1095,20,0557cee12e77e3c8c131ba359bcc2f96
1040102920,20,99.00 €,"1 145,00",Bagaren och Kocken,1253,20,dcfce53b2a8297297e1395dbfb618cc8
1030103716,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1040103716,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1030103818,18,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040103818,18,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030103718,18,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040103718,18,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040132714,14,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040135214,14,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030131314,14,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040131314,14,99.00 €,"1 145,00",Bagaren och Kocken,1157,14,63dbd457d61fa62ea0c72f1627a9c010
1040131314,14,99.00 €,"1 145,00",Knifeo,1195,14,17ddb0e884ffa3ea7ceb2bef536e95f6
1030131317,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040131317,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040132617,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030132617,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040135517,17,119.00 €,"1 375,00",Bagaren och Kocken,1308,17,b206ca8d939c24030706ea3f3ae54d7f
1040135617,17,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040131818,18,199.00 €,"2 299,00",No Product Found,,Not Sure,No Offer ID
1030133126,26,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040133126,26,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040107120,20,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
9030190016,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
9040190016,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
9030190116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
9040190116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
9030190218,18,59.00 €,"699,00",No Product Found,,Not Sure,No Offer ID
9040190218,18,59.00 €,"699,00",No Product Found,,Not Sure,No Offer ID
9030190018,18,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
9040190018,18,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
9030190020,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
9040190020,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
9030190120,20,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
9040190120,20,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1120160401,,259.00 €,"2 999,00",No Product Found,,Not Sure,No Offer ID
1120160601,,379.00 €,"4 375,00",No Product Found,,Not Sure,No Offer ID
1120160204,,179.00 €,"2 075,00",Royal Design,1458,Not Sure,ead8387d3cca6603e1d00d409b341618
1120160201,,169.00 €,"1 975,00",No Product Found,,Not Sure,No Offer ID
1120160206,,169.00 €,"1 975,00",Royal Design,1393,Not Sure,f57e2c7beea275622bb94d14078aa1af
1120160301,,239.00 €,"2 775,00",Bagaren och Kocken,1991,Not Sure,b6aaa3ce2791754dcf865cc309fd3953
1120160301,,239.00 €,"2 775,00",Royal Design,1991,Not Sure,8abc26cbf0ae8078d94f423c03adc6e2
1120160304,,249.00 €,"2 875,00",Royal Design,2028,Not Sure,a2808e1d3233867b06ec65fd7f62684e
1120160304,,249.00 €,"2 875,00",Knifeo,2795,Not Sure,489f03ee46aa1d04961620214bb2c652
1120160501,,369.00 €,"4 275,00",No Product Found,,Not Sure,No Offer ID
1120160602,,449.00 €,"5 199,00",No Product Found,,Not Sure,No Offer ID
1090170501,,459.00 €,"5 299,00",No Product Found,,Not Sure,No Offer ID
1090170503,,449.00 €,"5 199,00",No Product Found,,Not Sure,No Offer ID
1090170701,,469.00 €,"5 425,00",No Product Found,,Not Sure,No Offer ID
1090170707,,469.00 €,"5 425,00",Bagaren och Kocken,3821,Svart,a1d4286d3790843f116ef36a410ba98d
1090170707,,469.00 €,"5 425,00",Royal Design,3821,Svart,02d2a05ac3387626e0424d9a60618010
1090170901,,679.00 €,"7 845,00",No Product Found,,Not Sure,No Offer ID
1090170904,,679.00 €,"7 845,00",No Product Found,,Not Sure,No Offer ID
1090170905,,679.00 €,"7 845,00",No Product Found,,Not Sure,No Offer ID
1090171201,,949.00 €,"10 945,00",No Product Found,,Not Sure,No Offer ID
1090171203,,949.00 €,"10 945,00",No Product Found,,Not Sure,No Offer ID
1090171204,,949.00 €,"10 945,00",No Product Found,,Not Sure,No Offer ID
3030185026,26,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
3040185026,26,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030200116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040200116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030200120,20,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040200120,20,119.00 €,"1 375,00",Knifeo,1295,20,5b676b73194e1c7e5df185c56e66fa91
1040200120,20,119.00 €,"1 375,00",Bagaren och Kocken,1525,20,a544beb366d004329408e393bc07d18a
1040200409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030200409,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1030200716,16,89.00 €,"1 025,00",No Product Found,,Not Sure,No Offer ID
1040200716,16,89.00 €,"1 025,00",No Product Found,,Not Sure,No Offer ID
1030200823,23,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1040200823,23,129.00 €,"1 499,00",No Product Found,,Not Sure,No Offer ID
1030201123,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1040201123,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1030201614,14,89.00 €,"1 025,00",No Product Found,,Not Sure,No Offer ID
1040201614,14,89.00 €,"1 025,00",No Product Found,,Not Sure,No Offer ID
1030231314,14,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1040231314,14,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1030231317,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1040231317,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1030201712,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1040201712,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
2090271201,,260.00 €,"2 999,00",No Product Found,,Not Sure,No Offer ID
2090270601,,150.00 €,"1 745,00",No Product Found,,Not Sure,No Offer ID
1090270501,,639.00 €,"7 375,00",No Product Found,,Not Sure,No Offer ID
1090270502,,639.00 €,"7 375,00",No Product Found,,Not Sure,No Offer ID
1090270601,,499.00 €,"5 775,00",No Product Found,,Not Sure,No Offer ID
1090270602,,499.00 €,"5 775,00",No Product Found,,Not Sure,No Offer ID
3030285023,23,29.00 €,"345,00",No Product Found,,Not Sure,No Offer ID
3040285023,23,29.00 €,"345,00",No Product Found,,Not Sure,No Offer ID
1061700116,16,99.00 €,"1 145,00",No Product Found,,Not Sure,No Offer ID
1061700120,20,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1061702109,9,69.00 €,"799,00",No Product Found,,Not Sure,No Offer ID
1061704116,16,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1061706123,23,109.00 €,"1 275,00",No Product Found,,Not Sure,No Offer ID
1061708114,14,89.00 €,"1 045,00",No Product Found,,Not Sure,No Offer ID
1061710112,12,75.00 €,"875,00",No Product Found,,Not Sure,No Offer ID
1061731317,17,119.00 €,"1 375,00",No Product Found,,Not Sure,No Offer ID
1061760401,,259.00 €,"2 999,00",No Product Found,,Not Sure,No Offer ID
1091770711,,749.00 €,"8 599,00",No Product Found,,Not Sure,No Offer ID
