Product Name,Brand Name,Breadcrumbs,Price,Recommended Price,Short Description,Description,Color,Picture,Properties,Brand Information,MetaTitle,MetaDescription,Website
"Circus Korgar 2 Delar, Blå",OYOY,Barnrumsinredning,1736kr,2500kr,Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet.,<div>Korgarna från OYOY är tillverkade av rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. <br/><br/> <h2>Om korgarna från OYOY</h2><br/>- Set med 2 korgar i olika storlekar.<br/>- Finns i flera färger.<br/>- Mått:  Ø50 x H51 cm<br/>- Mått:  Ø36 x H36 cm<br/><br/><br/></div>,Blå,https://media.royaldesign.se/1/oyoy-circus-basket-set-of-2-blue-1?w=800&quality=80,"Produktinformation_Artikelnummer_328151,Produktinformation_Lev. artikelnummer_M107221,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Antal i förpackning_2,Produktinformation_Färg_Blå,Produktinformation_Material_Rotting,Produktinformation_Tillverkad i_Vietnam",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Circus Korgar 2 Delar, Blå från OYOY | RoyalDesign.se",Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning,NordicDetails.se
"Circus Lektält, Clay",OYOY,Barnrumsinredning,900kr,,Circus lektält från OYOY med en rund design med fina detaljer och mjuka färger som harmoniskt smälter in i hemmet.,<div>Lektältet från OYOY har en rund design med fina detaljer och mjuka färger som harmoniskt smälter in i hemmet.  Perfekt för barnrummet.<br/><br/> <h2>Om lektältet från OYOY</h2><br/>- Höjd: 1240 mm.<br/>- Diameter: 1000 mm.<br/>- Material:  100% Polyester<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-circus-tent-0?w=800&quality=80,"Produktinformation_Artikelnummer_337404,Produktinformation_Lev. artikelnummer_M107410,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Clay,Produktinformation_Material_Polyester,Produktinformation_Diameter_100 cm,Produktinformation_Höjd_124 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Circus Lektält, Clay från OYOY | RoyalDesign.se",Circus lektält från OYOY med en rund design med fina detaljer och mjuka färger som harmoniskt smälter in i hemmet. ✓ Trygg leverans ✓ Flexibel betalning,NordicDetails.se
Henry Elephant Speldosa,OYOY,Barnrumsinredning,550kr,,Speldosa från OYOY med en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen.,<div>Speldosan från OYOY har en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen. <br/><br/> <h2>Om speldosan från OYOY</h2><br/>- Uppskattas för den gulliga designen.<br/>- Är också omtyckt för den mysiga vaggvisan.<br/>- Bredd: 130 mm.<br/>- Höjd: 180 mm.<br/>- Längd: 170 mm.<br/>- Fyllning: Polyester.<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-henry-elephant-music-mobile-0?w=800&quality=80,"Produktinformation_Artikelnummer_337374,Produktinformation_Lev. artikelnummer_M107349,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Grå,Produktinformation_Material_Bomull, Polyester,Produktinformation_Bredd_11 cm,Produktinformation_Höjd_25 cm,Produktinformation_Längd_19 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Henry Elephant Speldosa från OYOY | RoyalDesign.se,Speldosa från OYOY med en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen. ✓ Trygg leverans,NordicDetails.se
"Putki Dörrmatta 52x76 cm, Dusty Blue",OYOY,Mattor,530kr,,"Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna.","<div>Dörrmattan från OYOY är tillverkad av återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Storlek: 52x76 cm.<br/><br/><br/></div>",Dusty Blue,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-2?w=800&quality=80,"Produktinformation_Artikelnummer_328089,Produktinformation_Lev. artikelnummer_L300473,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Dusty Blue,Produktinformation_Material_Polyester,Produktinformation_Storlek_52x76,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_52 cm,Produktinformation_Längd_76 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Putki Dörrmatta 52x76 cm, Dusty Blue från OYOY | RoyalDesign.se","Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Follow The Rainbow Väggdekoration 100x124 cm, Multi",OYOY,Barnrumsinredning,1099kr,1290kr,"Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant.","<div>Väggdekorationen från OYOY är perfekt för barnrummet och har en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. <br/><br/> <h2>Om väggdekorationen från OYOY</h2><br/>- Finns i flera färgkombinationer.<br/><br/> <h2>Skötselråd för väggdekorationen</h2><br/>- Endast fläcktvätt.<br/>- Torka genast bort fläckar med en fuktig trasa.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-follow-the-rainbow-vaggdekor-100x115cm-0?w=800&quality=80,"Produktinformation_Artikelnummer_204683,Produktinformation_Lev. artikelnummer_1100505,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Multi,Produktinformation_Material_Bomull,Produktinformation_Tillverkad i_Indien,Produktinformation_Tvättråd_Skumtvätt,Produktinformation_Övriga material_Läder, Trä, Ull,Produktinformation_Bredd_100 cm,Produktinformation_Höjd_124 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Follow The Rainbow Väggdekoration 100x124 cm, Multi | RoyalDesign.se","Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. ✓ Trygg leverans",NordicDetails.se
Cork Pall 20x40cm,OYOY,Stolar & Pallar,1800kr,3000kr,Cork Pall 20x40cm från OYOY är en stilren och praktisk sittmöbel tillverkad i kork. Perfekt för en modern inredning med naturliga material.,"<div><p>Cork Pall 20x40cm från OYOY är en funktionell och stilren möbel som kombinerar naturlig elegans med praktisk design. Pallen är tillverkad av högkvalitativ kork, vilket ger den både en tidlös estetik och en miljövänlig profil. Den kompakta storleken gör den perfekt för alla typer av rum, från vardagsrummet till hallen eller sovrummet. Med sin varma, jordnära färg och mjuka textur blir Cork Pall snabbt en favorit för den som söker att inreda sitt hem med både stil och hållbarhet i åtanke

<p>Denna pall är idealisk för dem som behöver extra sittplatser eller ett dekorativt element som också kan fungera som ett litet sidobord. Dess lätta vikt gör den enkel att flytta runt, vilket innebär att du kan anpassa ditt hem efter olika behov och tillfällen. Korkmaterialet ger också en behaglig sits och är skonsam mot golvytor

<h2>Specifikationer:</h2>
<ul>
<li>Material: Högkvalitativ kork.</li>
<li>Mått: 20 cm i diameter, 40 cm i höjd.</li>
<li>Vikt: Lätt och enkel att flytta.</li>
<li>Användning: Perfekt som sittplats, fotstöd eller litet sidobord.</li>
<li>Miljövänlig: Tillverkad av naturlig och hållbar kork.</li>
</ul>
<h2>Om varumärket OYOY</h2>
<p>OYOY är ett danskt varumärke känt för sina tidlösa och funktionella designprodukter. Med en passion för detaljer och kvalitet har OYOY etablerat sig som en ledande aktör inom heminredning och möbler. Varumärkets produkter är skapade med en kärlek till färg och form, vilket gör dem till ett självklart val för den stilmedvetna och kvalitetsfokuserade konsumenten</p></p></p></div>",,https://media.royaldesign.se/1/oyoy-cork-pall-20x40cm-0?w=800&quality=80,"Produktinformation_Artikelnummer_204992,Produktinformation_Lev. artikelnummer_110014,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Trä,Produktinformation_Diameter_40 cm,Produktinformation_Höjd_20 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Cork Pall 20x40cm från OYOY | RoyalDesign.se,Cork Pall 20x40cm från OYOY är en stilren och praktisk sittmöbel tillverkad i kork. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,NordicDetails.se
"Rainbow Dörrmatta 55x75 cm, Natur",OYOY,Mattor,500kr,,Rainbow dörrmatta från OYOY i kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut.,<div>Dörrmattan från OYOY är tillverkad av kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Bredd: 550 mm.<br/>- Längd: 750 mm.<br/>- Höjd: 15 mm.<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-rainbow-doormat-nature-0?w=800&quality=80,"Produktinformation_Artikelnummer_328057,Produktinformation_Lev. artikelnummer_L300252,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Natur,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Kokos,Produktinformation_Storlek_55x75,Produktinformation_Tillverkad i_Indien,Produktinformation_Övriga material_Silikon,Produktinformation_Bredd_55 cm,Produktinformation_Höjd_1.5 cm,Produktinformation_Längd_75 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Rainbow Dörrmatta 55x75 cm, Natur från OYOY | RoyalDesign.se",Rainbow dörrmatta från OYOY i kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut. ✓ Trygg leverans,NordicDetails.se
"Standing Lion Poster, 30x40 cm",OYOY,Dekoration,310kr,,"Standing Lion poster från OYOY med en lekfull, färgglad illustration perfekt för barnrummet.","<div>Postern från OYOY har en lekfull, färgglad illustration perfekt för barnrummet. <br/><br/> Tillverkad i Danmark.<br/><br/> <h2>Om postern från OYOY</h2><br/>- Tillverkad i Danmark.<br/>- Designsamarbete: Moira Frith X OYOY<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-standing-lion-poster-multi-0?w=800&quality=80,"Produktinformation_Artikelnummer_328067,Produktinformation_Lev. artikelnummer_L10257,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Brun,Produktinformation_Material_Papper,Produktinformation_Storlek_30x40,Produktinformation_Tillverkad i_Danmark,Produktinformation_Bredd_30 cm,Produktinformation_Höjd_40 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Standing Lion Poster, 30x40 cm från OYOY | RoyalDesign.se","Standing Lion poster från OYOY med en lekfull, färgglad illustration perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",NordicDetails.se
"Putki Dörrmatta 52x76 cm, Caramel",OYOY,Mattor,530kr,,"Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna.","<div>Dörrmattan från OYOY är tillverkad av återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Storlek: 52x76 cm.<br/><br/><br/></div>",Karamell,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-4?w=800&quality=80,"Produktinformation_Artikelnummer_328091,Produktinformation_Lev. artikelnummer_L300471,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Karamell,Produktinformation_Material_Polyester,Produktinformation_Storlek_52x76,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_52 cm,Produktinformation_Längd_76 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Putki Dörrmatta 52x76 cm, Caramel från OYOY | RoyalDesign.se","Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Raita Handduk 100x50 cm, Caramel/Isblå",OYOY,Badrumstextilier,310kr,,"Raita handduk från OYOY i mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck.","<div>Handduken från OYOY är tillverkad av mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck. <br/><br/> <h2>Om handduken från OYOY</h2><br/>- Finns i flera storlekar.<br/>- Finns i flera färger.<br/>- Tillverkad i Portugal.<br/><br/> <h2>Skötselråd för handduken</h2><br/>- Tvättas i 60°C.<br/><br/><br/><br/></div>",50x100,https://media.royaldesign.se/1/oyoy-raita-towel-40x60-cm-9?w=800&quality=80,"Produktinformation_Artikelnummer_328102,Produktinformation_Lev. artikelnummer_L300114,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Isblå, Karamell, Cloud,Produktinformation_Storlek_50x100,Produktinformation_Tillverkad i_Portugal",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Raita Handduk 100x50 cm, Caramel/Isblå från OYOY | RoyalDesign.se","Raita handduk från OYOY i mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
