EAN,Color,Size,Purchase Price,Recommended Price,ProductID,Price,StoreName,Featured,P Color,P Size
842142106857,,,,,5125033,N/A,N/A,N/A,N/A,N/A
842142103788,,,,,5125036,N/A,N/A,N/A,N/A,N/A
842142103795,,,,,5125037,N/A,N/A,N/A,N/A,N/A
842142103801,,,,,N/A,N/A,No Store Found,,,
842142103818,,,,,5125039,N/A,N/A,N/A,N/A,N/A
842142106918,,,,,5125040,N/A,N/A,N/A,N/A,N/A
842142110076,,,,,N/A,N/A,No Store Found,,,
842142106031,,,,,5125015,N/A,N/A,N/A,N/A,N/A
842142125001,,,,,N/A,N/A,No Store Found,,,
842142106048,,,,,5125024,N/A,N/A,N/A,N/A,N/A
842142110083,,,,,N/A,N/A,No Store Found,,,
842142105539,,,,,5125025,N/A,N/A,N/A,N/A,N/A
842142105546,,,,,5125026,N/A,N/A,N/A,N/A,N/A
842142110090,,,,,N/A,N/A,No Store Found,,,
842142104228,,,,,5125027,N/A,N/A,N/A,N/A,N/A
842142104235,,,,,5125028,N/A,N/A,N/A,N/A,N/A
842142112230,,,,,N/A,N/A,No Store Found,,,
842142106055,,,,,5125029,N/A,N/A,N/A,N/A,N/A
842142112247,,,,,N/A,N/A,No Store Found,,,
842142106062,,,,,5125030,N/A,N/A,N/A,N/A,N/A
842142112254,,,,,N/A,N/A,No Store Found,,,
842142106079,,,,,5125031,N/A,N/A,N/A,N/A,N/A
842142113190,,,,,N/A,N/A,No Store Found,,,
842142113206,,,,,N/A,N/A,No Store Found,,,
842142113213,,,,,N/A,N/A,No Store Found,,,
842142107526,,,,,N/A,N/A,No Store Found,,,
842142107533,,,,,5161542,N/A,N/A,N/A,N/A,N/A
842142107540,,,,,5161540,N/A,N/A,N/A,N/A,N/A
842142107557,,,,,5161541,N/A,N/A,N/A,N/A,N/A
842142109643,,,,,13503936,N/A,N/A,N/A,N/A,N/A
842142109650,,N/A,,,N/A,1500,Ellos,Yes,Grön,N/A
842142109667,,,,,5872122,N/A,N/A,N/A,N/A,N/A
842142112391,,,,,5894010,N/A,N/A,N/A,N/A,N/A
842142112391,,N/A,,,N/A,675,Rum21,Yes,Grå,N/A
842142112407,,,,,13503888,N/A,N/A,N/A,N/A,N/A
842142112407,,N/A,,,N/A,638,Rum21,Yes,Grå,N/A
842142112926,,,,,13682574,N/A,N/A,N/A,N/A,N/A
842142112933,,N/A,,,N/A,1275,Rum21,Yes,Grå,N/A
842142112933,,,,,5894009,N/A,N/A,N/A,N/A,N/A
842142112940,,,,,N/A,N/A,No Store Found,,,
842142112384,,,,,N/A,N/A,No Store Found,,,
842142112384,,,,,N/A,N/A,No Store Found,,,
842142112896,,,,,13682574,N/A,N/A,N/A,N/A,N/A
842142112902,,,,,5872122,N/A,N/A,N/A,N/A,N/A
842142112902,,,,,5894009,N/A,N/A,N/A,N/A,N/A
842142112919,,,,,N/A,N/A,No Store Found,,,
842142105386,,,,,5125047,N/A,N/A,N/A,N/A,N/A
842142105386,,,,,5780357,N/A,N/A,N/A,N/A,N/A
842142105393,,,,,5780343,N/A,N/A,N/A,N/A,N/A
842142105409,,,,,5780358,N/A,N/A,N/A,N/A,N/A
842142106550,,,,,5125010,N/A,N/A,N/A,N/A,N/A
842142106529,,,,,5125010,N/A,N/A,N/A,N/A,N/A
842142106420,,,,,5124985,N/A,N/A,N/A,N/A,N/A
842142106437,,,,,5125002,N/A,N/A,N/A,N/A,N/A
842142106444,,,,,5125003,N/A,N/A,N/A,N/A,N/A
842142106451,,,,,5780360,N/A,N/A,N/A,N/A,N/A
842142106468,,,,,5125005,N/A,N/A,N/A,N/A,N/A
842142106376,,,,,5124985,N/A,N/A,N/A,N/A,N/A
842142106383,,,,,5125002,N/A,N/A,N/A,N/A,N/A
842142106390,,,,,5125003,N/A,N/A,N/A,N/A,N/A
842142106406,,,,,13682575,N/A,N/A,N/A,N/A,N/A
842142106413,,,,,5125005,N/A,N/A,N/A,N/A,N/A
842142113169,,,,,N/A,N/A,No Store Found,,,
842142113176,,,,,N/A,N/A,No Store Found,,,
842142113183,,,,,N/A,N/A,No Store Found,,,
842142113220,,,,,N/A,N/A,No Store Found,,,
842142113237,,,,,N/A,N/A,No Store Found,,,
842142113244,,,,,N/A,N/A,No Store Found,,,
