EAN,BrandName,Price,Average Price,Lowest Price,Highest Price
7331059942601,"Bagaren och Kocken, Kockens Redskap","369, 372",370.5,369,372
7331059209001,"Kitchentime, Kockens Redskap","1099, 1099",1099,1099,1099
7331059148003,Kockens Redskap,"769, 1189",979,769,1189
7331059148058,Kockens Redskap,1229,1229,1229,1229
7331059148096,Kockens Redskap,1439,1439,1439,1439
7331059203900,Kockens Redskap,139,139,139,139
7331059102081,"Bagaren och Kocken, Cervera, Kitchentime, Kitchn, Kockens Redskap, Nordic Nest","479, 479, 595, 599, 599, 663",569,479,663
7331059102487,"Bagaren och Kocken, Kitchentime, Kockens Redskap, Nordic Nest","499, 499, 499, 655",538,499,655
7331059102685,"Bagaren och Kocken, Kitchentime, Kockens Redskap, Nordic Nest","529, 529, 529, 595",545.5,529,595
7331059102883,"Bagaren och Kocken, Cervera, Kitchentime, Kitchn, Kockens Redskap, Nordic Nest","549, 549, 549, 825, 829, 912",702.17,549,912
7331059103088,"Bagaren och Kocken, Kitchentime, Kockens Redskap, Nordic Nest","669, 669, 749, 845",733,669,845
7331059109080,"Bagaren och Kocken, Cervera, Kitchentime, Kitchn, Kockens Redskap, Nordic Nest","1145, 1145, 1149, 1149, 1149, 1275",1168.67,1145,1275
7331059109288,"Kitchentime, Kockens Redskap, Nordic Nest","995, 995, 995",995,995,995
7331059109189,"Bagaren och Kocken, Kitchentime, Kockens Redskap, Nordic Nest","1014, 1014, 1014, 1099",1035.25,1014,1099
7331059103682,"Bagaren och Kocken, Cervera, Kitchentime, Nordic Nest","1069, 1069, 1069, 1173",1095,1069,1173
7331059100186,"Bagaren och Kocken, Kockens Redskap","919, 919",919,919,919
7331059100285,"Bagaren och Kocken, Cervera, Kitchentime, Kockens Redskap, Nordic Nest","925, 928, 928, 928, 1328",1007.4,925,1328
7331059100384,"Bagaren och Kocken, Kockens Redskap","1215, 1219",1217,1215,1219
7331059104184,"Bagaren och Kocken, Kockens Redskap","1475, 1475",1475,1475,1475
7331059104283,"Bagaren och Kocken, Kitchentime, Kockens Redskap, Nordic Nest","1199, 1199, 1199, 1415",1253,1199,1415
7331059162009,"Cervera, Kockens Redskap","755, 761",758,755,761
