Article Name,Extracted Color,Extracted Size,Matched
"Ada RAW Grey, Ø 25 cm, Set",Grå,Ø25 cm,Yes
"Ada RAW Grey, Ø 30 cm, Set",Grå,Ø30 cm,Yes
"Ada RAW Grey, Ø 35 cm, Set",Grå,Ø35 cm,Yes
"Ada RAW Grey, Ø 40 cm, Set",Grå,Ø40 cm,Yes
"Ada RAW Grey, Ø 45 cm, Set",Grå,Ø45 cm,Yes
"Ada RAW Rosa, Ø 25 cm, Set",Rosa,Ø25 cm,Yes
"Ada RAW Rosa, Ø 30 cm, Set",Rosa,Ø30 cm,Yes
"Ada RAW Rosa, Ø 35 cm, Set",Rosa,Ø35 cm,Yes
"Ada RAW Rosa, Ø 40 cm, Set",Rosa,Ø40 cm,Yes
"Ada RAW Rosa, Ø 45 cm, Set",Rosa,Ø45 cm,Yes
"Atlas RAW Grey, Ø 14 cm, Set",Grå,Ø14 cm,Yes
"Atlas RAW Grey, Ø 16 cm, Set",Grå,Ø16 cm,Yes
"Atlas RAW Grey, Ø 18 cm, Set",Grå,Ø18 cm,Yes
"Atlas RAW Grey, Ø 21 cm, Set",Grå,Ø21 cm,Yes
"Atlas RAW Grey, Ø 25 cm, Set",Grå,Ø25 cm,Yes
"Atlas RAW Rosa, Ø 14 cm, Set",Rosa,Ø14 cm,Yes
"Atlas RAW Rosa, Ø 16 cm, Set",Rosa,Ø16 cm,Yes
"Atlas RAW Rosa, Ø 18 cm, Set",Rosa,Ø18 cm,Yes
"Atlas RAW Rosa, Ø 21 cm, Set",Rosa,Ø21 cm,Yes
"Atlas RAW Rosa, Ø 25 cm, Set",Rosa,Ø25 cm,Yes
"Belle RAW Rosa, Ø 25 cm, Bowl",Rosa,Ø25 cm,Yes
"Belle RAW Rosa, H 25 cm, Vase",Rosa,Ø25 cm,Yes
"Belle RAW Rosa, Ø 35 cm, Bowl",Rosa,Ø35 cm,Yes
"Belle RAW Rosa, H 40 cm, Vase",Rosa,Ø40 cm,Yes
"Celeste RAW Grey, Ø 23 cm, Set",Grå,Ø23 cm,Yes
"Celeste RAW Grey, Ø 28 cm, Set",Grå,Ø28 cm,Yes
"Celeste RAW Grey, Ø 34 cm, Set",Grå,Ø34 cm,Yes
"Celeste RAW Rosa, Ø 23 cm, Set",Rosa,Ø23 cm,Yes
"Celeste RAW Rosa, Ø 28 cm, Set",Rosa,Ø28 cm,Yes
"Celeste RAW Rosa, Ø 34 cm, Set",Rosa,Ø34 cm,Yes
"Daisy GLAZED Emerald Green, H 20 cm, Vase",Grön,Ø20 cm,Yes
"Daisy GLAZED Emerald Green, H 25 cm, Vase",Grön,Ø25 cm,Yes
"Daisy GLAZED Emerald Green, Ø 25 cm, Cachepot",Grön,Ø25 cm,Yes
"Daisy GLAZED Emerald Green, Ø 30 cm, Cachepot",Grön,Ø30 cm,Yes
"Daisy GLAZED Amber Yellow, H 20 cm, Vase",Gul,Ø20 cm,Yes
"Daisy GLAZED Amber Yellow, H 25 cm, Vase",Gul,Ø25 cm,Yes
"Daisy RAW Grey, Ø 25 cm, Set",Grå,Ø25 cm,Yes
"Daisy RAW Grey, Ø 30 cm, Set",Grå,Ø30 cm,Yes
"Daisy, RAW Grey, Ø 30 cm, Wall Pot",Grå,Ø30 cm,Yes
"Daisy RAW Rosa, Ø 25 cm, Set",Rosa,Ø25 cm,Yes
"Daisy RAW Rosa, Ø 30 cm, Set",Rosa,Ø30 cm,Yes
"Daisy RAW Rosa, Ø 30 cm, Wall Pot",Rosa,Ø30 cm,Yes
"Elizabeth RAW Grey, Ø 12 cm, Set",Grå,Ø12 cm,Yes
"Elizabeth RAW Grey, Ø 12 cm, Set",Grå,Ø12 cm,Yes
"Elizabeth RAW Grey, Ø 16 cm, Set",Grå,Ø16 cm,Yes
"Elizabeth RAW Grey, Ø 18 cm, Set",Grå,Ø18 cm,Yes
"Elizabeth RAW Grey, Ø 21 cm, Set",Grå,Ø21 cm,Yes
"Elizabeth RAW Grey, Ø 25 cm, Set",Grå,Ø25 cm,Yes
"Elizabeth RAW Rosa, Ø 12 cm, Set",Rosa,Ø12 cm,Yes
"Elizabeth RAW Rosa, Ø 14 cm, Set",Rosa,Ø14 cm,Yes
"Elizabeth RAW Rosa, Ø 16 cm, Set",Rosa,Ø16 cm,Yes
"Elizabeth RAW Rosa, Ø 18 cm, Set",Rosa,Ø18 cm,Yes
"Elizabeth RAW Rosa, Ø 21 cm, Set",Rosa,Ø21 cm,Yes
"Elizabeth RAW Rosa, Ø 25 cm, Set",Rosa,Ø25 cm,Yes
"Emilia RAW Grey, Ø 16 cm, Set",Grå,Ø16 cm,Yes
"Emilia RAW Grey, Ø 21 cm, Set",Grå,Ø21 cm,Yes
