Product Name,Brand Name,Breadcrumbs,Art,Lev.Art,Price,Recommended Price,Short Description,Description,Color,Picture,Variant Images,Properties,Brand Information,MetaTitle,MetaDescription,Website
"Rainbow Dörrmatta 55x75 cm, Natur",OYOY,Mattor,328057,L300252,500kr,,Rainbow dörrmatta från OYOY i kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut.,<div>Dörrmattan från OYOY är tillverkad av kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Bredd: 550 mm.<br/>- Längd: 750 mm.<br/>- Höjd: 15 mm.<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-rainbow-doormat-nature-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-rainbow-doormat-nature-0?quality=80&w=800,"Produktinformation_Artikelnummer_328057,Produktinformation_Lev. artikelnummer_L300252,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Natur,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Kokos,Produktinformation_Storlek_55x75,Produktinformation_Tillverkad i_Indien,Produktinformation_Övriga material_Silikon,Produktinformation_Bredd_55 cm,Produktinformation_Höjd_1.5 cm,Produktinformation_Längd_75 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Rainbow Dörrmatta 55x75 cm, Natur från OYOY | NordicDetails.se",Rainbow dörrmatta från OYOY i kokosfiber med en baksida i silikon och en lekfull form perfekt för att få hallen att se mer välkomnande ut. ✓ Trygg leverans,https://royaldesign.se/rainbow-dorrmatta-55x75-cm-natur
"Circus Korgar 2 Delar, Blå",OYOY,Barnrumsinredning,328151,M107221,2500kr,,Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet.,<div>Korgarna från OYOY är tillverkade av rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. <br/><br/> <h2>Om korgarna från OYOY</h2><br/>- Set med 2 korgar i olika storlekar.<br/>- Finns i flera färger.<br/>- Mått:  Ø50 x H51 cm<br/>- Mått:  Ø36 x H36 cm<br/><br/><br/></div>,Blå,https://media.royaldesign.se/1/oyoy-circus-basket-set-of-2-blue-1?quality=80&w=800,https://media.royaldesign.se/1/oyoy-circus-basket-set-of-2-blue-1?quality=80&w=800,"Produktinformation_Artikelnummer_328151,Produktinformation_Lev. artikelnummer_M107221,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Antal i förpackning_2,Produktinformation_Färg_Blå,Produktinformation_Material_Rotting,Produktinformation_Tillverkad i_Vietnam",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Circus Korgar 2 Delar, Blå från OYOY | NordicDetails.se",Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning,https://royaldesign.se/circus-korgar-2-delar?p=328151
"Circus Korgar 2 Delar, Nutmeg",OYOY,Barnrumsinredning,328152,M107222,2500kr,,Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet.,<div>Korgarna från OYOY är tillverkade av rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. <br/><br/> <h2>Om korgarna från OYOY</h2><br/>- Set med 2 korgar i olika storlekar.<br/>- Finns i flera färger.<br/>- Mått:  Ø50 x H51 cm<br/>- Mått:  Ø36 x H36 cm<br/><br/><br/></div>,Muskot,https://media.royaldesign.se/1/oyoy-circus-basket-set-of-2-blue-2?quality=80&w=800,https://media.royaldesign.se/1/oyoy-circus-basket-set-of-2-blue-2?quality=80&w=800,"Produktinformation_Artikelnummer_328152,Produktinformation_Lev. artikelnummer_M107222,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Antal i förpackning_2,Produktinformation_Färg_Muskot,Produktinformation_Material_Rotting,Produktinformation_Tillverkad i_Vietnam",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Circus Korgar 2 Delar, Nutmeg från OYOY | NordicDetails.se",Circus korgar från OYOY i rotting med ett lock och en lekfull form med massor av utrymme perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning,https://royaldesign.se/circus-korgar-2-delar?p=328152
"Rainbow Julkalender 50x60 cm, Choko",OYOY,Dekoration,328116,M300185,629kr,680kr,"Rainbow julkalender från OYOY i ekologisk bomull med 24 metallringar, en lekfull form och harmoniska färger.","<div>Julkalendern från OYOY är tillverkad av ekologisk bomull med 24 metallringar, en lekfull form och harmoniska färger. <br/><br/> <h2>Om julkalendern från OYOY</h2><br/>- Bredd: 500 mm.<br/>- Höjd: 600 mm.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-rainbow-christmas-calendar-choko-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-rainbow-christmas-calendar-choko-0?quality=80&w=800,"Produktinformation_Artikelnummer_328116,Produktinformation_Lev. artikelnummer_M300185,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Choko,Produktinformation_Material_Bomull,Produktinformation_Storlek_50x60,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_50 cm,Produktinformation_Höjd_60 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Rainbow Julkalender 50x60 cm, Choko från OYOY | NordicDetails.se","Rainbow julkalender från OYOY i ekologisk bomull med 24 metallringar, en lekfull form och harmoniska färger. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/rainbow-julkalender-50x60-cm-choko
"Mini Krok, Björn",OYOY,Förvaring & Hyllor,328171,10995,260kr,,"Mini krok från OYOY i bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet.","<div>Kroken från OYOY är tillverkad av bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet. <br/><br/> <h2>Om kroken från OYOY</h2><br/>- Finns i flera utföranden.<br/><br/><br/></div>","Mini Krok, Björn",https://media.royaldesign.se/1/oyoy-mini-hook-koala-nature-1?quality=80&w=800,https://media.royaldesign.se/1/oyoy-mini-hook-koala-nature-1?quality=80&w=800,"Produktinformation_Artikelnummer_328171,Produktinformation_Lev. artikelnummer_10995,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Natur,Produktinformation_Material_Bok,Produktinformation_Tillverkad i_Kina,Produktinformation_Bredd_4.5 cm,Produktinformation_Djup_0.6 cm,Produktinformation_Höjd_4.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mini Krok, Björn från OYOY | NordicDetails.se","Mini krok från OYOY i bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",https://royaldesign.se/mini-krok?p=328171
"Pullo Termosflaska, Korall / Cherry Red / Cherry Red",OYOY,Glas,337321,L300844,320kr,,Pullo termosflaska från OYOY med en praktisk design i rostfritt stål perfekt för både varma och kalla drycker.,"<div>Termosflaskan från OYOY har en praktisk design i rostfritt stål perfekt för både varma och kalla drycker.  Perfekt för utomhusaktiviteter.<br/><br/> <h2>Om termosflaskan från OYOY</h2><br/>- Tillverkad av rostfritt stål.<br/>- Kapacitet: 52 cl.<br/>- Höjd: 224 mm.<br/>- Diameter: 68 mm.<br/>- Hot: up to  6 hours, Cold: for up to 12 hours.<br/><br/><br/></div>","Korall, Cherry Red",https://media.royaldesign.se/1/oyoy-pullo-bottle-4?quality=80&w=800,https://media.royaldesign.se/1/oyoy-pullo-bottle-4?quality=80&w=800,"Produktinformation_Artikelnummer_337321,Produktinformation_Lev. artikelnummer_L300844,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Korall, Cherry Red,Produktinformation_Material_Rostfritt stål, Silikon,Produktinformation_Kapacitet_52 cl,Produktinformation_Diameter_6.8 cm,Produktinformation_Höjd_22.4 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Pullo Termosflaska, Korall / Cherry Red / Cherry Red | NordicDetails.se",Pullo termosflaska från OYOY med en praktisk design i rostfritt stål perfekt för både varma och kalla drycker. ✓ Trygg leverans ✓ Flexibel betalning,https://royaldesign.se/pullo-termosflaska?p=337321
"Mellow Barnbestick 3-pack, Choko / Isblå / Mint",OYOY,Barnens Kök & Servis,337356,M107332,250kr,,Mellow barnbestick från OYOY med en praktisk design i rostfritt stål med ett greppvänligt handtag i silikon perfekt för vardagen.,"<div>Barnbesticken från OYOY har en praktisk design i rostfritt stål med ett greppvänligt handtag i silikon perfekt för vardagen. <br/><br/> Kombinera barnbesticken med Mellow tallriksset.<br/><br/> <h2>Om barnbesticken från OYOY</h2><br/>- Mellow uppskattas för den praktiska designen.<br/>- Mellow är också omtyckt för det greppvänliga handtaget.<br/>- Kombinera barnbesticken med Mellow tallriksset.<br/>- Barnbesticken finns i  olika färger.<br/>- Medföljer: sked, gaffel, kniv.<br/>- Höjd: 17 mm.<br/>- Längd: 145 mm.<br/><br/> <h2>Skötselråd för barnbesticken</h2><br/>- Tål diskmaskin.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-mellow-cutlery-pack-of-3-2?quality=80&w=800,https://media.royaldesign.se/1/oyoy-mellow-cutlery-pack-of-3-2?quality=80&w=800,"Produktinformation_Artikelnummer_337356,Produktinformation_Lev. artikelnummer_M107332,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Isblå, Pale Mint, Choko,Produktinformation_Material_Rostfritt stål, Silikon,Produktinformation_Höjd_1.7 cm,Produktinformation_Längd_14.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mellow Barnbestick 3-pack, Choko / Isblå / Mint | NordicDetails.se",Mellow barnbestick från OYOY med en praktisk design i rostfritt stål med ett greppvänligt handtag i silikon perfekt för vardagen. ✓ Trygg leverans,https://royaldesign.se/mellow-barnbestick-3-pack?p=337356
"Yuka Glas 2-pack, Vit",OYOY,Glas,385022,L301054,380kr,,Yuka Swirl glas från OYOY med en handgjord design i glas med en konstnärlig känsla och funktion och ett vackert svirvelmönster.,<div>Glas från OYOY med en handgjord design i glas med en konstnärlig känsla och funktion och ett vackert svirvelmönster.  Varje artikel är unik tack vare den handgjorda designen.<br/><br/> <h2>Om glaset från OYOY</h2><br/>- Yuka Swirl uppskattas för den konstnärliga designen.<br/>- Från serien Yuka.<br/>- Tillverkat av glas.<br/>- Säljs i 2-pack.<br/>- Glaset finns i  olika färger.<br/></div>,Vit,https://media.royaldesign.se/1/oyoy-yuka-virvelglas-2-pack-gula-4?quality=80&w=800,https://media.royaldesign.se/1/oyoy-yuka-virvelglas-2-pack-gula-4?quality=80&w=800,"Produktinformation_Artikelnummer_385022,Produktinformation_Lev. artikelnummer_L301054,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Antal i förpackning_2,Produktinformation_Färg_Vit,Produktinformation_Material_Glas,Produktinformation_Diameter_7 cm,Produktinformation_Höjd_10.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Yuka Glas 2-pack, Vit från OYOY | NordicDetails.se",Yuka Swirl glas från OYOY med en handgjord design i glas med en konstnärlig känsla och funktion och ett vackert svirvelmönster. ✓ Trygg leverans,https://royaldesign.se/yuka-swirl-glas-2-pack?p=385022
"Mini Krok, Kanin",OYOY,Förvaring & Hyllor,328172,10996,260kr,,"Mini krok från OYOY i bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet.","<div>Kroken från OYOY är tillverkad av bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet. <br/><br/> <h2>Om kroken från OYOY</h2><br/>- Finns i flera utföranden.<br/><br/><br/></div>","Mini Krok, Kanin",https://media.royaldesign.se/1/oyoy-mini-hook-koala-nature-3?quality=80&w=800,https://media.royaldesign.se/1/oyoy-mini-hook-koala-nature-3?quality=80&w=800,"Produktinformation_Artikelnummer_328172,Produktinformation_Lev. artikelnummer_10996,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Natur,Produktinformation_Material_Bok,Produktinformation_Tillverkad i_Kina,Produktinformation_Bredd_4.5 cm,Produktinformation_Djup_5.5 cm,Produktinformation_Höjd_0.8 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mini Krok, Kanin från OYOY | NordicDetails.se","Mini krok från OYOY i bok med ett lekfullt, roligt djurmotiv perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",https://royaldesign.se/mini-krok?p=328172
"Putki Dörrmatta 52x76 cm, Dusty Blue",OYOY,Mattor,328089,L300473,530kr,,"Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna.","<div>Dörrmattan från OYOY är tillverkad av återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Storlek: 52x76 cm.<br/><br/><br/></div>",Dusty Blue,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-2?quality=80&w=800,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-2?quality=80&w=800,"Produktinformation_Artikelnummer_328089,Produktinformation_Lev. artikelnummer_L300473,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Dusty Blue,Produktinformation_Material_Polyester,Produktinformation_Storlek_52x76,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_52 cm,Produktinformation_Längd_76 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Putki Dörrmatta 52x76 cm, Dusty Blue från OYOY | NordicDetails.se","Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/putki-dorrmatta-52x76-cm?p=328089
