SUPPLIER PRODUCT NUMBER,SUPPLIER PRODUCT NAME,SUPPLIER EAN CODE ,PACKAGING UNIT,RETAIL PRICE (MSRP),PURCHASE PRICE (EXCL. VAT),BRAND,CATEGORY,MATERIAL,COLOR,COUNTRY OF ORIGIN,PRODUCT DESCRIPTION,MICROWAVE SAFE,CLEANING/WASHING INSTRUCTIONS,DISHWASHER SAFE,HANDMADE,DIAMETER (CM),WIDTH (CM) ,HEIGHT (CM),LENGHT (CM),CAPACITY (ML),NET PRODUCT WEIGHT (GRAMS),PACKAGE DIMENSIONS: LENGTH (CM),PACKAGE DIMENSIONS: HEIGHT (CM),PACKAGE DIMENSIONS: WIDTH (CM),GROSS WEIGHT INCL. PACKAGE (GRAMS)
100-1,Paris Hobnail Jug 2L Amber,5740009200852,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Amber,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-5,Paris Hobnail Jug 2L Beryl,5740009200463,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Beryl,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-7,Paris Hobnail Jug 2L Blue smoke,5740009200876,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Blue smoke,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-9,Paris Hobnail Jug 2L Cashmere,5740009200883,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Cashmere,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-10,Paris Hobnail Jug 2L Crystal,5740009200470,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Crystal,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-12,Paris Hobnail Jug 2L Citron,5740009200890,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Citron,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-14,Paris Hobnail Jug 2L Light blue,5740009201026,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Light blue,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-21,Paris Hobnail Jug 2L Light Green,5740009200906,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Light green,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-27,Paris Hobnail Jug 2L Lavender,8595711802774,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Lavender,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-30,Paris Hobnail Jug 2L New Brown,8595711802125,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,New Brown,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
