Brand,Name,Availability,Description,Details,Over Category,Subcategory,ID,Related IDs,Images,Meta Title,Meta Description,Artikel Nummer
Pippi Långstrump,Kvällsbestyr-bäddset,Finns Lager,"<div>Ett vitt bäddset med roliga, gula ränder och fina, färgglada Pippi Långstrump-motiv. Påslakanets storlek är 150 x 210 cm och örngottet är 50 x 60 cm. 100% bomull. Maskintvätt 60 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100076,Produktinformation_Färg_Vit, gul,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Maskintvätt 60 °C, tvättas med liknande färger,Produktinformation_Vikt_0,9 kg,Produktinformation_EAN_6416845067636",Hemtextiler,Sängkläder,73100076,"73100075,73099355","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_01_webstore_cmytra.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_02_webstore_icd5il.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_03_webstore_o17kf8.jpg?_i=AB",Pippi Långstrump Kvällsbestyr-bäddset | NordicDetails.se,"Ett vitt bäddset med roliga, gula ränder och fina, färgglada Pippi Långstrump-motiv. Påslakanets storlek är 150 x 210 cm och örngottet är 50 x 60 cm. 100% bomull. Maskintvätt 60 grader. Öko-tex. ",73100076
Pippi Långstrump,Veranda-örngott,Finns Lager,"<div>Ett vitt örngott med tunna gula ränder och en stor, färgglad bild av Pippi Långstrump som kliver ned för verandratrappan bärandes på Lilla Gubben. 100% bomull. Maskintvätt 60 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100075,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Maskintvätt 60 °C,Produktinformation_Mått_60 x 50 cm,Produktinformation_Vikt_0,1 kg,Produktinformation_EAN_6416845067629",Hemtextiler,Sängkläder,73100075,"73100076,73099355","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100075_01_webstore_zg5irg.jpg?_i=AB",Pippi Långstrump Veranda-örngott | NordicDetails.se,"Ett vitt örngott med tunna gula ränder och en stor, färgglad bild av Pippi Långstrump som kliver ned för verandratrappan bärandes på Lilla Gubben. 100% bomull. Maskintvätt 60 grader. Öko-tex.",73100075
Ma-ia Family,Pilkku-filt grön,Finns Lager,"<div>Söta drömmar och god morgonUnder Pilkku-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Den ena sidan är prickig och milt olivgrön, medan den andra sidan är benvit. Så hur man än vrider och vänder på den utlovas söta drömmar. Ja, och en bättre morgondag samtidigt – materialet är återvunnen polyester. Öko-tex.</div>","Produktinformation_Art._nummer_71200547,Produktinformation_Färg_Grön,Produktinformation_Material_100 % återvunnen polyester,Produktinformation_Mått_75 x 100 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416844986501,Produktinformation_Ursprungsland_Turkiet",Hemtextiler,Sängkläder,71200547,71200546,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_02_aw3vy5.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_01_vak1q7.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_03_zwoojt.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_06_webstore_wcmkaf.jpg?_i=AB",Ma-ia Family Pilkku-filt grön | NordicDetails.se,"Söta drömmar och god morgon Under Pilkku-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Den ena sidan är prickig och milt olivgrön, medan den andra sidan är benvit. Så hur man än vrider och vänder på den u",71200547
Ma-ia Family,Orvokki-filt ros,Finns Lager,"<div>Söta drömmar och god morgonUnder Orvokki-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Filtens ena sida är dekorerad med äventyrliga kaniner, fjärilar och fina blommor, medan den andra sidan är sockersöt i rosa. Så hur man än vrider och vänder på den utlovas söta drömmar. Ja, och en bättre morgondag samtidigt – materialet är återvunnen polyester. Öko-tex.</div>","Produktinformation_Art._nummer_71200546,Produktinformation_Färg_Rosa,Produktinformation_Material_100 % återvunnen polyester,Produktinformation_Mått_75 x 100 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416844986495,Produktinformation_Ursprungsland_Turkiet",Hemtextiler,Sängkläder,71200546,71200547,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_02_btqpj0.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_03_o3kvys.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_01_vfnihp.jpg?_i=AB",Ma-ia Family Orvokki-filt ros | NordicDetails.se,"Söta drömmar och god morgon Under Orvokki-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Filtens ena sida är dekorerad med äventyrliga kaniner, fjärilar och fina blommor, medan den andra sidan är sockersöt",71200546
Pippi Långstrump,Villekulla-badponcho,Finns Lager,"<div>En skön och praktisk badponcho i klara färger, helmönstrad med Villa Villekulla, Pippi Långstrump och Lilla Gubben framtill. Badponchon har huva och den är 60 x 60 cm stor. 100% bomullsvelour 300 gsm. Maskintvätt 60 °C, tål torktumling. Öko-tex.</div>","Produktinformation_Art._nummer_73099355,Produktinformation_Material_100 % bomull (velour 300 gsm),Produktinformation_Skötsel_Tvätta före användning, tvättas med liknande färger. 60 °C, torktumling.,Produktinformation_Mått_60 x 60 cm,Produktinformation_Vikt_0,28 kg,Produktinformation_EAN_6416845017570,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,73099355,,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73099355_01_mlz2dg.jpg?_i=AB",Pippi Långstrump Villekulla-badponcho | NordicDetails.se,"En skön och praktisk badponcho i klara färger, helmönstrad med Villa Villekulla, Pippi Långstrump och Lilla Gubben framtill. Badponchon har huva och den är 60 x 60 cm stor. 100% bomullsvelour 300 gsm. Maskintvätt 60 °C, tål torktumling. Öko-tex.",73099355
Mumin,Trädkrona-badponcho gul,Finns Lager,<div>No Description Available</div>,"Produktinformation_Art._nummer_72579362,Produktinformation_Färg_Gul,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Tvätta före användning, tvättas med liknande färger. 60 °C, torktumling.,Produktinformation_Mått_60 x 60 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416845043494,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,72579362,,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7200%20MUUMI%20TEKSTIILI%20LAPSET/C-72579362_01_webstore_yafl7y.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7200%20MUUMI%20TEKSTIILI%20LAPSET/C-72579362_02_webstore_ee97mq.jpg?_i=AB",Mumin Trädkrona-badponcho gul | NordicDetails.se,No Meta Description Available,72579362
Pippi Långstrump,Snedrand-badhandduk,Ej Lager,"<div>Roligt snedrandig och färgglad badhandduk 70 x 140 cm, med den starka Pippi Långstrump som bär omkring på sin prickiga häst Lilla Gubben. Materialet är mjuk bomullsvelour med hög uppsugningsförmåga. 100% bomull.  Maskintvätt 40 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100077,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_40 °C – Tvättas med liknande färger, vänd ut och in inför tvätt, stryk på avigsidan,Produktinformation_Mått_140 x 70 cm,Produktinformation_Vikt_0,35 kg,Produktinformation_EAN_6416844121742,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,73100077,"73100076,73100075,73099355,61460048","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100077_01_webstore_ygp02t.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100077_02_webstore_wqkb4b.jpg?_i=AB",Pippi Långstrump Snedrand-badhandduk | NordicDetails.se,"Roligt snedrandig och färgglad badhandduk 70 x 140 cm, med den starka Pippi Långstrump som bär omkring på sin prickiga häst Lilla Gubben. Materialet är mjuk bomullsvelour med hög uppsugningsförmåga. 100% bomull.  Maskintvätt 40 grader. Öko-tex.",73100077
Mumin,Tranbär-teburk,Finns Lager,<div>En teburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Burken är tillverkad i plåt och den har ett lufttätt lock med spännlås. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256288,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,17 kg,Produktinformation_EAN_6416550228667",Förvara,Plåtburkar,61256288,"61256287,61256285,61256283,61256280,61256282,61256284","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256288_01_webstore_qdsohf.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256288_02_webstore_v8iedb.jpg?_i=AB",Mumin Tranbär-teburk | NordicDetails.se,En teburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Burken är tillverkad i plåt och den har ett lufttätt lock med spännlås. Handdisk och noggrann torkning.,61256288
Mumin,Tranbär-kaffeburk,Finns Lager,<div>En kaffeburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Kaffeburken har ett lufttätt lock med spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256287,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,225 kg,Produktinformation_EAN_6416550228650",Förvara,Plåtburkar,61256287,"61256288,61256286,61256285,61256283,61256284,61256282,61256280","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256287_01_webstore_yzisbh.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256287_02_webstore_k2nymo.jpg?_i=AB",Mumin Tranbär-kaffeburk | NordicDetails.se,En kaffeburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Kaffeburken har ett lufttätt lock med spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.,61256287
Mumin,Trädkrona-kaffefilterburk orange,Finns Lager,<div>En praktisk plåtburk för förvaring av kaffefilter. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta Trädkrona-motiv i orange nyanser. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256285,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,18 kg,Produktinformation_EAN_6416550228636",Förvara,Plåtburkar,61256285,"61256280,61256282,61256283,61256284,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_01_webstore_z3aj6x.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_02_webstore_quhssd.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_03_webstore_gjfoxp.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_05_webstore_ycwvf4.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_06_webstore_mujq2p.jpg?_i=AB",Mumin Trädkrona-kaffefilterburk orange | NordicDetails.se,En praktisk plåtburk för förvaring av kaffefilter. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta Trädkrona-motiv i orange nyanser. Handdisk och noggrann torkning.,61256285
