Handle,Title,Body (HTML),Vendor,Product Category,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / Condition,Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Status
1956,Carl Larsson Blomster Bonad Grön 90x136cm,"Ge ditt hem en touch av skandinavisk elegans med denna vackra väggbonad. Den är designad för enkel upphängning med en 5 cm bred kanal både upptill och nertill, och har snyggt fållade långsidor. Med en höjd på 90 cm och en bredd på 136 cm blir den en iögonfallande detalj i vilket rum som helst. Låt denna konstverk förvandla din vägg till en oas av färg och stil!",Carl Larsson,Home & Garden > Decor,TRUE,Title,Default Title,CAR-INR-001,550.0,shopify,1,continue,manual,549,549,TRUE,TRUE,7332623411226,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1161-75-007.jpg,1,Carl Larsson Blomster Bonad Grön 90x136cm,FALSE,Carl Larsson Blomster Bonad Grön 90x136cm | Nordic Details,Ge ditt hem skandinavisk elegans med denna vackra väggbonad. Enkel upphängning och iögonfallande design förvandlar ditt rum!,female,adult,new,grön,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1161-75-007.jpg,g,se_vat_25,211,TRUE,active
1185-20-177,Stig Lindberg Aster Metervara Blå 145cm,"Ge ditt hem en stilren och botanisk touch med detta vackra gardintyg i metervara. Designat av den ikoniska Stig Lindberg, erbjuder detta 145 cm breda bomullstyg en perfekt bas för måttanpassade gardiner, dukar och andra inredningsdetaljer. Tänk på att tyget inte är avsett för möbler. 

Varje meter är noggrant klippt efter dina önskemål, så vi kan tyvärr inte ta emot returer på specialbeställningar. Med certifiering enligt STANDARD 100 by OEKO-TEX® kan du känna dig trygg i att tyget är fritt från skadliga ämnen, både för dig och miljön. 

Skapa en harmonisk atmosfär i ditt hem med detta eleganta och hållbara tyg!",Stig Lindberg,Home & Garden > Decor,TRUE,Title,Default Title,STI-TEX-001,261.0,shopify,21,continue,manual,399,399,TRUE,TRUE,7332623413060,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1401-00-088_9.jpg,1,Stig Lindberg Aster Metervara Blå 145cm,FALSE,Stig Lindberg Aster Metervara Blå 145cm | Nordic Details,"Ge ditt hem en botanisk touch med Stig Lindbergs vackra gardintyg. Hållbart, OEKO-TEX® certifierat och perfekt för skräddarsydda inredningsdetaljer!",female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1401-00-088_9.jpg,g,se_vat_25,153,TRUE,active
1184-20-177,Svanefors A box with love Disk & Tvål 500ml,"Ge dina händer den omtanke de förtjänar med vår eleganta presentförpackning som innehåller både handtvål och diskmedel. Den lyxiga handtvålen med mango och aloe vera återfuktar och ger din hud en strålande lyster, tack vare sina antioxidanter. Samtidigt rengör diskmedlet, berikat med kokosnötsolja, skonsamt utan att torka ut dina händer. Den fräscha doften av japansk pepparmint ger en antibakteriell effekt och en härlig känsla av renhet. Varje flaska rymmer 500 ml av dessa underbara produkter, perfekta för att förvandla din handtvätt och diskning till en njutning.",Svanefors,Home & Garden > Kitchen & Dining > Tableware,TRUE,Title,Default Title,SVA-DUK-001,1100.0,shopify,1,continue,manual,249,249,TRUE,TRUE,7332623406529,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1281-89-000.jpg,1,Svanefors A box with love Disk & Tvål 500ml,FALSE,Svanefors A box with love Disk & Tvål 500ml | Nordic Details,Ge dina händer lyx med vår presentförpackning! Innehåller handtvål med mango och aloe vera samt skonsamt diskmedel med kokosnötsolja.,female,adult,new,transparant,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1281-89-000.jpg,g,se_vat_25,96,TRUE,active
1185-00-177,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1281-89-000_1.jpg,2,,,,,,,,,,,,,,
1218-75-066,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1281-89-000_2.jpg,3,,,,,,,,,,,,,,
1469-44-177,Svanefors A box with love Tvål & Handsprit,"Upplev lyxen av vår handtvål och handsprit i en elegant presentförpackning! Den återfuktande handtvålen med mango och aloe vera ger din hud en härlig lyster och skyddande antioxidanter. Med 500 ml av denna sköna tvål kan du njuta av en mjuk och fräsch känsla varje gång du tvättar händerna. 

Vår effektiva handsprit, med 250 ml av bakteriedödande algocel, håller dina händer rena och skyddade. Perfekt för både hemmet och på språng! 

Ge bort eller unna dig själv denna fantastiska duo – en perfekt kombination av omtanke och hygien.",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-INR-001,800.0,shopify,1,continue,manual,299,299,TRUE,TRUE,7332623406536,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1282-89-000.jpg,1,Svanefors A box with love Tvål & Handsprit,FALSE,Svanefors A box with love Tvål & Handsprit | Nordic Details,"Upplev lyx med vår handtvål och handsprit i elegant förpackning! Återfuktande, bakteriedödande och perfekt för omtanke och hygien.",female,adult,new,transparant,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1282-89-000.jpg,g,se_vat_25,115,TRUE,active
1469-46-177,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/1282-89-000_1.jpg,2,,,,,,,,,,,,,,
1469-72-177,Svanefors A&E CTC Metervara Blå 140cm,"Upptäck en ny twist på ett klassiskt mönster med vår metervara i en vacker blå nyans. Det akrylbehandlade tyget är både hållbart och lätt att rengöra – ett utmärkt alternativ till vaxduk. Med en bredd på 140 cm är detta tyg perfekt för att skapa unika inredningsdetaljer. Observera att vi tyvärr inte kan ta emot returer på specialbeställningar, inklusive gardintyg och metervaror, då vi klipper tyget efter dina specifikationer. Ge ditt hem en stilfull uppgradering med detta mångsidiga tyg!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-001,300.0,shopify,12,continue,manual,379,379,TRUE,TRUE,7332623406925,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-008.jpg,1,Svanefors A&E CTC Metervara Blå 140cm,FALSE,Svanefors A&E CTC Metervara Blå 140cm | Nordic Details,Upptäck vårt hållbara metervara i vacker blå nyans! Perfekt för unika inredningsdetaljer. Lätt att rengöra och 140 cm brett. Uppgradera ditt hem idag!,female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-008.jpg,g,se_vat_25,146,TRUE,active
1471-47-888,Svanefors A&E CTC metervara Blå 140cm,"Upptäck en ny twist på ett klassiskt mönster med vår metervara i en vacker blå nyans. Det akrylbehandlade tyget är både hållbart och lätt att rengöra – ett utmärkt alternativ till vaxduk. Med en bredd på 140 cm är detta tyg perfekt för att skapa unika inredningsdetaljer. Observera att vi tyvärr inte kan ta emot returer på specialbeställningar, inklusive gardintyg och metervaror, då vi klipper tyget efter dina specifikationer. Ge ditt hem en stilfull uppgradering med detta mångsidiga tyg!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-002,300.0,shopify,12,continue,manual,379,379,TRUE,TRUE,7332623364539,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-088_1.png,1,Svanefors A&E CTC metervara Blå 140cm,FALSE,Svanefors A&E CTC metervara Blå 140cm | Nordic Details,Upptäck vårt hållbara metervara i vacker blå nyans! Perfekt för unika inredningsdetaljer. Lätt att rengöra och 140 cm brett. Ge ditt hem en stilfull touch!,female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-088_1.png,g,se_vat_25,146,TRUE,active
1548-00-010,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-088.jpg,2,,,,,,,,,,,,,,
