Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Clay,"100% Polyester, Fiberglass Poles",OYOY MINI,123,138,133,3200,China,,,,,,,,,,3+,,,,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue / Clay,100% Organic cotton / 100% Microsoft Polyester Fiber,OYOY MINI,1,140,130,1042,India,Y,Y,,N,,,,Y,,0+,,,,30 Degrees Gentle wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,18,"16,5","16,5",1950,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,18,"16,5","16,5",1950,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,24,"21,5","21,5",3900,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,24,"21,5","21,5",3900,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,30,27,27,6300,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,30,27,27,6300,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Brown Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"32,5",18,5,95,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Brown Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"40,9",17,6,97,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Grey,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"34,5","18,5",4,100,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",140,250,200,India,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",45,45,200,India,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,15,90,90,118,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,3,14,14,7,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
