Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Quantity,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
602_GUNGDOT_1340,ALAC UTSTÄLLNINGSKOPPEL LÄDER BRUN RING+STOPP 10MMx180CM,"Svensktillverkat utställningskoppel av brunt läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
10mm brett
180cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1340,,100,shopify,2,deny,manual,174.93,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1340.jpg,1,active
602_GUNGDOT_1342,ALAC UTSTÄLLNINGSKOPPEL LÄDER SVART RING+STOPP 10MMx190CM,"Svensktillverkat utställningskoppel av svart läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1342,7393603120910,100,shopify,6,deny,manual,174.93,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1342.jpg,1,active
602_GUNGDOT_1344,ALAC UTSTÄLLNINGSKOPPEL LÄDER NATUR 6MMx160CM,"Svensktillverkat utställningskoppel av natur läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
6mm brett
160cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1344,7393603119808,100,shopify,20,deny,manual,124.32,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1344.jpg,1,active
602_GUNGDOT_1346,ALAC UTSTÄLLNINGSKOPPEL LÄDER SVART 6MMx160CM,"Svensktillverkat utställningskoppel av svart läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
6mm brett
160cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1346,7393603119815,100,shopify,19,deny,manual,124.32,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1346.jpg,1,active
602_GUNGDOT_1370,ALAC K. LÄDERHANDTAG SVART MED SILVER HAKE 12MMx30CM,"Svensktillverkat handtag av svart läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
12mm brett
30cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1370,7393603103067,100,shopify,6,deny,manual,72.6,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1370.jpg,1,active
602_GUNGDOT_1374,ALAC K. LÄDERHANDTAG SVART MED SVART HAKE 18MMx30CM,"Svensktillverkat handtag av svart läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
18mm brett
30cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1374,7393603103012,100,shopify,5,deny,manual,89.32,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1374.jpg,1,active
602_GUNGDOT_1400,ALAC KOPPEL UNIVERSAL SVART 18MM JUSTERBAR LÄNGD,"Svensktillverkat koppel av svart läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
18mm brett
Justerbar längd<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1400,7393603102213,100,shopify,6,deny,manual,356.72,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1400.jpg,1,active
602_GUNGDOT_1420,"ALAC PROMENADKOPPEL ANITGLID ORANGE 2,0x250CM TWISTLOCK-HAK",<br><br>,ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1420,,100,shopify,49,deny,manual,223.86,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1420.jpg,1,active
602_GUNGDOT_1422,"ALAC PROMENADKOPPEL ANITGLID LIME 2,0x250CM TWISTLOCK-HAKE",<br><br>,ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1422,,100,shopify,49,deny,manual,223.86,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1422.jpg,1,active
602_GUNGDOT_1424,"ALAC PROMENADKOPPEL ANITGLID GUL 2,0x250CM TWISTLOCK-HAKE",<br><br>,ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1424,,100,shopify,49,deny,manual,223.86,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1424.jpg,1,active
